,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,serotype,isolation_source,BioSample Accession,is_retracted,retraction_detection_date_utc,name_state_x,date,File Name,Genotype,"Genotype List Used, >=98.0%",Genotype Sample Title List,Genotype Percent Match List,Genotype Mismatch List,Genotype Average Depth of Coverage List,name_state_y,Geo_Location,Collection_Date_Specific
10,SRR28752451,WGS,146.95,64394752,PRJNA1102327,SAMN41019233,Viral,21179953,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318193,USA,North America,USA,Cattle,Illumina iSeq 100,24-009108-001-original,24-009108-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009108-001-original,SRP503016,H5N1,,SRS21079807,False,,USA,2025-05-09_10-47-05,SRR28752451.fa,B3.13,"HA:ea1, NP:am8, PB1:am4, NS:am1.1, PA:ea1, PB2:am2.2, MP:ea1, NA:ea1","ea1:22-003707-003:HA, am8:23-032005-001:NP, am4:23-001855-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, ea1:22-003707-003:NA","98.77%, 99.33%, 99.56%, 99.28%, 99.16%, 98.86%, 98.88%, 99.08%","21, 10, 10, 6, 18, 26, 11, 13",Ran on FASTA - No Coverage Report,USA,USA,2024-03-20
11,SRR28752451,WGS,146.95,64394752,PRJNA1102327,SAMN41019233,Viral,21179953,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318193,USA,North America,USA,Cattle,Illumina iSeq 100,24-009108-001-original,24-009108-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009108-001-original,SRP503016,H5N1,,SRS21079807,False,,USA,2025-05-09_10-47-05,SRR28752451.fa,B3.13,"HA:ea1, NP:am8, PB1:am4, NS:am1.1, PA:ea1, PB2:am2.2, MP:ea1, NA:ea1","ea1:22-003707-003:HA, am8:23-032005-001:NP, am4:23-001855-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, ea1:22-003707-003:NA","98.77%, 99.33%, 99.56%, 99.28%, 99.16%, 98.86%, 98.88%, 99.08%","21, 10, 10, 6, 18, 26, 11, 13",Ran on FASTA - No Coverage Report,Texas,USA-TX,2024-03-20
12,SRR28752452,WGS,144.08,41343137,PRJNA1102327,SAMN41019232,Viral,14331437,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318192,USA,North America,USA,Cattle,Illumina iSeq 100,24-009088-002-original,24-009088-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009088-002-original,SRP503016,H5N1,,SRS21079805,False,,USA,2025-05-09_10-47-06,SRR28752452.fa,B3.13,"NS:am1.1, HA:ea1, PB1:am4, NP:am8, MP:ea1, NA:ea1, PB2:am2.2, PA:ea1","am1.1:22-010085-001:NS, ea1:22-003707-003:HA, am4:23-001855-001:PB1, am8:23-032005-001:NP, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA","99.17%, 98.59%, 99.47%, 99.40%, 98.78%, 99.15%, 98.86%, 99.26%","7, 24, 12, 9, 12, 12, 26, 16",Ran on FASTA - No Coverage Report,USA,USA,2024-03-13
13,SRR28752452,WGS,144.08,41343137,PRJNA1102327,SAMN41019232,Viral,14331437,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318192,USA,North America,USA,Cattle,Illumina iSeq 100,24-009088-002-original,24-009088-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009088-002-original,SRP503016,H5N1,,SRS21079805,False,,USA,2025-05-09_10-47-06,SRR28752452.fa,B3.13,"NS:am1.1, HA:ea1, PB1:am4, NP:am8, MP:ea1, NA:ea1, PB2:am2.2, PA:ea1","am1.1:22-010085-001:NS, ea1:22-003707-003:HA, am4:23-001855-001:PB1, am8:23-032005-001:NP, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA","99.17%, 98.59%, 99.47%, 99.40%, 98.78%, 99.15%, 98.86%, 99.26%","7, 24, 12, 9, 12, 12, 26, 16",Ran on FASTA - No Coverage Report,Texas,USA-TX,2024-03-13
14,SRR28752453,WGS,144.71,37055919,PRJNA1102327,SAMN41019231,Viral,12938409,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318191,USA,North America,USA,Cattle,Illumina iSeq 100,24-009088-001-original,24-009088-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009088-001-original,SRP503016,H5N1,,SRS21079806,False,,USA,2025-05-09_10-46-11,SRR28752453.fa,B3.13,"PA:ea1, NP:am8, NS:am1.1, PB2:am2.2, HA:ea1, PB1:am4, MP:ea1, NA:ea1","ea1:22-003707-003:PA, am8:23-032005-001:NP, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, am4:23-001855-001:PB1, ea1:22-003707-003:MP, ea1:22-003707-003:NA","99.26%, 99.40%, 99.05%, 98.82%, 98.59%, 99.43%, 98.68%, 99.08%","16, 9, 8, 27, 24, 13, 13, 13",Ran on FASTA - No Coverage Report,USA,USA,2024-03-13
15,SRR28752453,WGS,144.71,37055919,PRJNA1102327,SAMN41019231,Viral,12938409,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318191,USA,North America,USA,Cattle,Illumina iSeq 100,24-009088-001-original,24-009088-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009088-001-original,SRP503016,H5N1,,SRS21079806,False,,USA,2025-05-09_10-46-11,SRR28752453.fa,B3.13,"PA:ea1, NP:am8, NS:am1.1, PB2:am2.2, HA:ea1, PB1:am4, MP:ea1, NA:ea1","ea1:22-003707-003:PA, am8:23-032005-001:NP, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, am4:23-001855-001:PB1, ea1:22-003707-003:MP, ea1:22-003707-003:NA","99.26%, 99.40%, 99.05%, 98.82%, 98.59%, 99.43%, 98.68%, 99.08%","16, 9, 8, 27, 24, 13, 13, 13",Ran on FASTA - No Coverage Report,Texas,USA-TX,2024-03-13
16,SRR28752454,WGS,247.92,77475156,PRJNA1102327,SAMN41019230,Viral,25347759,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318190,USA,North America,USA,Cattle,Illumina MiSeq,24-009087-001-original,24-009087-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009087-001-original,SRP503016,H5N1,,SRS21079804,False,,USA,2025-05-09_10-47-06,SRR28752454.fa,B3.13,"NP:am8, NA:ea1, MP:ea1, NS:am1.1, PB1:am4, PA:ea1, HA:ea1, PB2:am2.2","am8:23-032005-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2","99.40%, 99.15%, 98.88%, 99.05%, 99.56%, 99.16%, 98.77%, 98.86%","9, 12, 11, 8, 10, 18, 21, 26",Ran on FASTA - No Coverage Report,USA,USA,2024-03-20
17,SRR28752454,WGS,247.92,77475156,PRJNA1102327,SAMN41019230,Viral,25347759,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318190,USA,North America,USA,Cattle,Illumina MiSeq,24-009087-001-original,24-009087-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009087-001-original,SRP503016,H5N1,,SRS21079804,False,,USA,2025-05-09_10-47-06,SRR28752454.fa,B3.13,"NP:am8, NA:ea1, MP:ea1, NS:am1.1, PB1:am4, PA:ea1, HA:ea1, PB2:am2.2","am8:23-032005-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2","99.40%, 99.15%, 98.88%, 99.05%, 99.56%, 99.16%, 98.77%, 98.86%","9, 12, 11, 8, 10, 18, 21, 26",Ran on FASTA - No Coverage Report,Texas,USA-TX,2024-03-20
18,SRR28752455,WGS,147.62,63694864,PRJNA1102327,SAMN41019229,Viral,19920569,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318189,USA,North America,USA,Cattle,Illumina iSeq 100,24-009029-001-original,24-009029-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009029-001-original,SRP503016,H5N1,,SRS21079803,False,,USA,2025-05-09_10-47-06,SRR28752455.fa,B3.13,"PB1:am4, NA:ea1, MP:ea1, PA:ea1, NS:am1.1, NP:am8, HA:ea1, PB2:am2.2","am4:23-001855-001:PB1, ea1:22-003707-003:NA, ea1:22-003707-003:MP, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, am8:23-032005-001:NP, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2","99.52%, 99.08%, 98.88%, 99.21%, 99.05%, 99.33%, 98.77%, 98.86%","11, 13, 11, 17, 8, 10, 21, 26",Ran on FASTA - No Coverage Report,USA,USA,2024-03-21
19,SRR28752455,WGS,147.62,63694864,PRJNA1102327,SAMN41019229,Viral,19920569,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318189,USA,North America,USA,Cattle,Illumina iSeq 100,24-009029-001-original,24-009029-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009029-001-original,SRP503016,H5N1,,SRS21079803,False,,USA,2025-05-09_10-47-06,SRR28752455.fa,B3.13,"PB1:am4, NA:ea1, MP:ea1, PA:ea1, NS:am1.1, NP:am8, HA:ea1, PB2:am2.2","am4:23-001855-001:PB1, ea1:22-003707-003:NA, ea1:22-003707-003:MP, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, am8:23-032005-001:NP, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2","99.52%, 99.08%, 98.88%, 99.21%, 99.05%, 99.33%, 98.77%, 98.86%","11, 13, 11, 17, 8, 10, 21, 26",Ran on FASTA - No Coverage Report,Texas,USA-TX,2024-03-21
20,SRR28752456,WGS,251.28,52181145,PRJNA1102327,SAMN41019228,Viral,17307723,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318188,USA,North America,USA,Cattle,Illumina MiSeq,24-009028-019-original,24-009028-019-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009028-019-original,SRP503016,H5N1,,SRS21079801,False,,USA,2025-05-09_10-47-06,SRR28752456.fa,B3.13,"HA:ea1, PB2:am2.2, PA:ea1, PB1:am4, MP:ea1, NA:ea1, NS:am1.1, NP:am8","ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, am4:23-001855-001:PB1, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am1.1:22-010085-001:NS, am8:23-032005-001:NP","98.65%, 98.86%, 99.16%, 99.52%, 98.88%, 99.15%, 99.17%, 99.33%","23, 26, 18, 11, 11, 12, 7, 10",Ran on FASTA - No Coverage Report,USA,USA,2024-03-20
21,SRR28752456,WGS,251.28,52181145,PRJNA1102327,SAMN41019228,Viral,17307723,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318188,USA,North America,USA,Cattle,Illumina MiSeq,24-009028-019-original,24-009028-019-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009028-019-original,SRP503016,H5N1,,SRS21079801,False,,USA,2025-05-09_10-47-06,SRR28752456.fa,B3.13,"HA:ea1, PB2:am2.2, PA:ea1, PB1:am4, MP:ea1, NA:ea1, NS:am1.1, NP:am8","ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, am4:23-001855-001:PB1, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am1.1:22-010085-001:NS, am8:23-032005-001:NP","98.65%, 98.86%, 99.16%, 99.52%, 98.88%, 99.15%, 99.17%, 99.33%","23, 26, 18, 11, 11, 12, 7, 10",Ran on FASTA - No Coverage Report,Texas,USA-TX,2024-03-20
22,SRR28752457,WGS,218.41,47935468,PRJNA1102327,SAMN41019183,Viral,28922890,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318187,USA,North America,USA,Chicken,Illumina MiSeq,24-007264-003-original,24-007264-003-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-007264-003-original,SRP503016,H5N1,,SRS21079802,False,,USA,2025-05-09_10-46-29,SRR28752457.fa,B3.13,"NA:ea1, PA:ea1, NS:am1.1, PB2:am2.2, HA:ea1, MP:ea1, NP:am8, PB1:am4","ea1:22-003707-003:NA, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, ea1:22-003707-003:MP, am8:23-032005-001:NP, am4:23-001855-001:PB1","98.94%, 99.21%, 99.28%, 98.86%, 98.65%, 98.88%, 99.40%, 99.52%","15, 17, 6, 26, 23, 11, 9, 11",Ran on FASTA - No Coverage Report,USA,USA,2024-03-07
