,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,serotype,isolation_source,BioSample Accession,is_retracted,retraction_detection_date_utc,name_state,sample,date,File Name,Genotype,"Genotype List Used, >=98.0%",Genotype Sample Title List,Genotype Percent Match List,Genotype Mismatch List,Genotype Average Depth of Coverage List,Geo_Location,Collection_Date_Specific
13,SRR33993048,WGS,132.54,45692579,PRJNA1102327,SAMN49104734,Viral,16380741,USDA-NVSL,2025,public,"fastq,run.zq,run","gs,s3","gs.us-east1,s3.us-east-1",SRX29191071,USA,,USA,CATTLE,NextSeq 2000,25-002509-001-tile,25-002509-001-tile,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:08:19,1,25-002509-001-tile,SRP503016,,"MILK, BULK TANK",SRS25388547,False,,USA,SRR33993048,2025-06-20_06-23-56,SRR33993048.fa,B3.13,"MP:ea1, NA:ea1, HA:ea1, PB1:am4, PB2:am2.2, NS:am1.1, NP:am8, PA:ea1","ea1:22-003707-003:MP, ea1:22-003707-003:NA, ea1:22-003707-003:HA, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, am1.1:22-010085-001:NS, am8:23-032005-001:NP, ea1:22-003707-003:PA","98.78%, 98.79%, 98.62%, 99.34%, 98.50%, 98.93%, 98.93%, 98.93%","12, 17, 14, 15, 34, 9, 16, 23",Ran on FASTA - No Coverage Report,USA,2025
14,SRR33993049,WGS,148.89,108836285,PRJNA1102327,SAMN49104733,Viral,39521904,USDA-NVSL,2025,public,"fastq,run.zq,run",s3,s3.us-east-1,SRX29191070,USA,,USA,CATTLE,NextSeq 2000,25-017049-001,25-017049-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:08:35,1,25-017049-001,SRP503016,,"MILK, BULK TANK",SRS25388546,False,,USA,SRR33993049,2025-06-20_06-23-56,SRR33993049.fa,B3.13,"NP:am8, HA:ea1, PA:ea1, NA:ea1, NS:am1.1, MP:ea1, PB2:am2.2, PB1:am4","am8:23-032005-001:NP, ea1:22-003707-003:HA, ea1:22-003707-003:PA, ea1:22-003707-003:NA, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, am4:23-001855-001:PB1","98.73%, 98.18%, 98.84%, 98.79%, 99.17%, 99.08%, 98.51%, 99.38%","19, 31, 25, 17, 7, 9, 34, 14",Ran on FASTA - No Coverage Report,USA,2025
15,SRR33993050,WGS,148.32,72069095,PRJNA1102327,SAMN49104732,Viral,23887383,USDA-NVSL,2025,public,"fastq,run.zq,run",s3,s3.us-east-1,SRX29191069,USA,,USA,CATTLE,Illumina iSeq 100,25-016878-005,25-016878-005-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:08:33,1,25-016878-005,SRP503016,,"MILK, BULK TANK",SRS25388545,False,,USA,SRR33993050,2025-06-20_06-23-56,SRR33993050.fa,B3.13,"NA:ea1, MP:ea1, HA:ea1, NS:am1.1, PB2:am2.2, NP:am8, PA:ea1, PB1:am4","ea1:22-003707-003:NA, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2, am8:23-032005-001:NP, ea1:22-003707-003:PA, am4:23-001855-001:PB1","98.72%, 98.68%, 98.24%, 99.05%, 98.51%, 98.93%, 98.93%, 99.21%","18, 13, 30, 8, 34, 16, 23, 18",Ran on FASTA - No Coverage Report,USA,2025
16,SRR33993051,WGS,148.13,71854425,PRJNA1102327,SAMN49104731,Viral,23685525,USDA-NVSL,2025,public,"fastq,run.zq,run","gs,s3","gs.us-east1,s3.us-east-1",SRX29191068,USA,,USA,CATTLE,Illumina iSeq 100,25-016878-003,25-016878-003-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:08:20,1,25-016878-003,SRP503016,,"MILK, BULK TANK",SRS25388544,False,,USA,SRR33993051,2025-06-20_06-23-56,SRR33993051.fa,B3.13,"PA:ea1, NS:am1.1, NP:am8, NA:ea1, HA:ea1, MP:ea1, PB2:am2.2, PB1:am4","ea1:22-003707-003:PA, am1.1:22-010085-001:NS, am8:23-032005-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:HA, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, am4:23-001855-001:PB1","98.93%, 99.05%, 98.86%, 98.86%, 98.24%, 98.78%, 98.51%, 99.25%","23, 8, 17, 16, 30, 12, 34, 17",Ran on FASTA - No Coverage Report,USA,2025
17,SRR33993052,WGS,147.03,65353759,PRJNA1102327,SAMN49104722,Viral,21469946,USDA-NVSL,2025,public,"fastq,run.zq,run","gs,s3","gs.us-east1,s3.us-east-1",SRX29191067,USA,,USA,CATTLE,Illumina iSeq 100,25-016745-001,25-016745-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:08:33,1,25-016745-001,SRP503016,,"MILK, BULK TANK",SRS25388543,False,,USA,SRR33993052,2025-06-20_06-23-56,SRR33993052.fa,B3.13,"NA:ea1, MP:ea1, PB2:am2.2, NP:am8, PB1:am4, HA:ea1, NS:am1.1, PA:ea1","ea1:22-003707-003:NA, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, am8:23-032005-001:NP, am4:23-001855-001:PB1, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, ea1:22-003707-003:PA","98.58%, 98.88%, 98.51%, 98.93%, 99.56%, 98.30%, 98.69%, 98.84%","20, 11, 34, 16, 10, 29, 11, 25",Ran on FASTA - No Coverage Report,USA,2025
18,SRR33993053,WGS,146.19,24058580,PRJNA1102327,SAMN49104721,Viral,8111306,USDA-NVSL,2025,public,"fastq,run.zq,run",s3,s3.us-east-1,SRX29191066,USA,,USA,CATTLE,Illumina iSeq 100,25-016741-001,25-016741-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:08:45,1,25-016741-001,SRP503016,,"MILK, BULK TANK",SRS25388542,False,,USA,SRR33993053,2025-06-20_06-23-56,SRR33993053.fa,B3.13,"PA:ea1, PB2:am2.2, HA:ea1, NA:ea1, PB1:am4, NP:am8, NS:am1.1, MP:ea1","ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, ea1:22-003707-003:NA, am4:23-001855-001:PB1, am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:MP","98.65%, 98.55%, 98.06%, 98.51%, 99.47%, 98.93%, 98.93%, 98.78%","29, 33, 33, 21, 12, 16, 9, 12",Ran on FASTA - No Coverage Report,USA,2025
19,SRR33992696,WGS,148.85,190626822,PRJNA980729,SAMN49104545,Viral,68848188,USDA-NVSL,2025,public,"fastq,run.zq,run","gs,s3","gs.us-east1,s3.us-east-1",SRX29190747,USA,,USA,CHICKEN,NextSeq 2000,25-017216-002,25-017216-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:07:31,1,25-017216-002,SRP441379,,CLOACAL/OROPHARYNGEAL SWAB POOL,SRS25388223,False,,USA,SRR33992696,2025-06-20_06-23-56,SRR33992696.fa,D1.1,"PB2:am24, NS:ea3, PB1:ea3, PA:am4, NP:am13, HA:ea3, NA:am4N1, MP:ea3","am24:24-030039-001:PB2, ea3:22-013001-001:NS, ea3:22-013001-001:PB1, am4:24-030039-001:PA, am13:24-030039-001:NP, ea3:22-013001-001:HA, am4N1:24-030039-001:NA, ea3:22-013001-001:MP","99.56%, 98.81%, 99.25%, 99.40%, 99.47%, 99.35%, 99.04%, 99.90%","10, 10, 17, 13, 8, 11, 10, 1",Ran on FASTA - No Coverage Report,USA,2025
20,SRR33992697,WGS,148.65,174204267,PRJNA980729,SAMN49104544,Viral,63013857,USDA-NVSL,2025,public,"fastq,run.zq,run",s3,s3.us-east-1,SRX29190746,USA,,USA,CHICKEN,NextSeq 2000,25-017216-001,25-017216-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:07:14,1,25-017216-001,SRP441379,,CLOACAL/OROPHARYNGEAL SWAB POOL,SRS25388222,False,,USA,SRR33992697,2025-06-20_06-23-56,SRR33992697.fa,D1.1,"MP:ea3, PB1:ea3, NA:am4N1, NS:ea3, PB2:am24, PA:am4, NP:am13, HA:ea3","ea3:22-013001-001:MP, ea3:22-013001-001:PB1, am4N1:24-030039-001:NA, ea3:22-013001-001:NS, am24:24-030039-001:PB2, am4:24-030039-001:PA, am13:24-030039-001:NP, ea3:22-013001-001:HA","100.00%, 99.25%, 99.04%, 98.93%, 99.47%, 99.35%, 99.47%, 99.47%","0, 17, 10, 9, 12, 14, 8, 9",Ran on FASTA - No Coverage Report,USA,2025
21,SRR33992698,WGS,148.81,190847180,PRJNA980729,SAMN49104543,Viral,68670191,USDA-NVSL,2025,public,"fastq,run.zq,run","gs,s3","gs.us-east1,s3.us-east-1",SRX29190745,USA,,USA,CHICKEN,NextSeq 2000,25-017017-005,25-017017-005-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:07:12,1,25-017017-005,SRP441379,,OROPHARYNGEAL SWAB,SRS25388221,False,,USA,SRR33992698,2025-06-20_06-23-56,SRR33992698.fa,D1.1,"NP:am13, PB1:ea3, MP:ea3, NS:ea3, HA:ea3, PB2:am24, NA:am4N1, PA:am4","am13:24-030039-001:NP, ea3:22-013001-001:PB1, ea3:22-013001-001:MP, ea3:22-013001-001:NS, ea3:22-013001-001:HA, am24:24-030039-001:PB2, am4N1:24-030039-001:NA, am4:24-030039-001:PA","99.53%, 99.03%, 100.00%, 98.93%, 99.47%, 99.56%, 99.33%, 99.49%","7, 22, 0, 9, 9, 10, 7, 11",Ran on FASTA - No Coverage Report,USA,2025
22,SRR33992699,WGS,149.03,157118049,PRJNA980729,SAMN49104542,Viral,56934198,USDA-NVSL,2025,public,"fastq,run.zq,run","gs,s3","gs.us-east1,s3.us-east-1",SRX29190744,USA,,USA,CHICKEN,NextSeq 2000,25-017017-004,25-017017-004-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:07:27,1,25-017017-004,SRP441379,,OROPHARYNGEAL SWAB,SRS25388219,False,,USA,SRR33992699,2025-06-20_06-23-56,SRR33992699.fa,D1.1,"NP:am13, HA:ea3, PB2:am24, PB1:ea3, NA:am4N1, MP:ea3, NS:ea3, PA:am4","am13:24-030039-001:NP, ea3:22-013001-001:HA, am24:24-030039-001:PB2, ea3:22-013001-001:PB1, am4N1:24-030039-001:NA, ea3:22-013001-001:MP, ea3:22-013001-001:NS, am4:24-030039-001:PA","99.47%, 99.47%, 99.52%, 99.16%, 99.04%, 100.00%, 98.81%, 99.44%","8, 9, 11, 19, 10, 0, 10, 12",Ran on FASTA - No Coverage Report,USA,2025
23,SRR33992700,WGS,149.39,85416600,PRJNA980729,SAMN49104541,Viral,30923309,USDA-NVSL,2025,public,"fastq,run.zq,run",s3,s3.us-east-1,SRX29190743,USA,,USA,CHICKEN,NextSeq 2000,25-017017-003,25-017017-003-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:07:10,1,25-017017-003,SRP441379,,OROPHARYNGEAL SWAB,SRS25388218,False,,USA,SRR33992700,2025-06-20_06-23-56,SRR33992700.fa,D1.1,"NA:am4N1, NS:ea3, PB1:ea3, HA:ea3, NP:am13, PB2:am24, MP:ea3, PA:am4","am4N1:24-030039-001:NA, ea3:22-013001-001:NS, ea3:22-013001-001:PB1, ea3:22-013001-001:HA, am13:24-030039-001:NP, am24:24-030039-001:PB2, ea3:22-013001-001:MP, am4:24-030039-001:PA","99.04%, 98.81%, 99.16%, 99.41%, 99.40%, 99.52%, 99.90%, 99.40%","10, 10, 19, 10, 9, 11, 1, 13",Ran on FASTA - No Coverage Report,USA,2025
24,SRR33992701,WGS,148.74,215621548,PRJNA980729,SAMN49104540,Viral,77412197,USDA-NVSL,2025,public,"fastq,run",s3,s3.us-east-1,SRX29190742,USA,,USA,CHICKEN,NextSeq 2000,25-016340-002,25-016340-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:07:12,1,25-016340-002,SRP441379,,OROPHARYNGEAL SWAB,SRS25388220,False,,USA,SRR33992701,2025-06-20_06-23-56,SRR33992701.fa,D1.1,"MP:ea3, PB1:ea3, NS:ea3, HA:ea3, NP:am13, NA:am4N1, PA:am4, PB2:am24","ea3:22-013001-001:MP, ea3:22-013001-001:PB1, ea3:22-013001-001:NS, ea3:22-013001-001:HA, am13:24-030039-001:NP, am4N1:24-030039-001:NA, am4:24-030039-001:PA, am24:24-030039-001:PB2","100.00%, 99.25%, 98.93%, 99.41%, 99.53%, 99.04%, 99.49%, 99.52%","0, 17, 9, 10, 7, 10, 11, 11",Ran on FASTA - No Coverage Report,USA,2025
25,SRR33992702,WGS,148.58,164485298,PRJNA980729,SAMN49104539,Viral,59153989,USDA-NVSL,2025,public,"fastq,run.zq,run",s3,s3.us-east-1,SRX29190741,USA,,USA,CHICKEN,NextSeq 2000,25-016340-001,25-016340-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:07:11,1,25-016340-001,SRP441379,,OROPHARYNGEAL SWAB,SRS25388217,False,,USA,SRR33992702,2025-06-20_06-23-56,SRR33992702.fa,D1.1,"PB2:am24, NS:ea3, NA:am4N1, NP:am13, PA:am4, MP:ea3, HA:ea3, PB1:ea3","am24:24-030039-001:PB2, ea3:22-013001-001:NS, am4N1:24-030039-001:NA, am13:24-030039-001:NP, am4:24-030039-001:PA, ea3:22-013001-001:MP, ea3:22-013001-001:HA, ea3:22-013001-001:PB1","99.52%, 98.93%, 99.04%, 99.60%, 99.44%, 99.90%, 99.47%, 99.25%","11, 9, 10, 6, 12, 1, 9, 17",Ran on FASTA - No Coverage Report,USA,2025
26,SRR33992703,WGS,147.69,108646876,PRJNA980729,SAMN49104538,Viral,35642264,USDA-NVSL,2025,public,"fastq,run.zq,run",s3,s3.us-east-1,SRX29190740,USA,,USA,CHICKEN,Illumina iSeq 100,25-017017-002,25-017017-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:07:09,1,25-017017-002,SRP441379,,OROPHARYNGEAL SWAB,SRS25388216,False,,USA,SRR33992703,2025-06-20_06-23-56,SRR33992703.fa,D1.1,"PB1:ea3, MP:ea3, HA:ea3, NP:am13, NA:am4N1, PB2:am24, NS:ea3, PA:am4","ea3:22-013001-001:PB1, ea3:22-013001-001:MP, ea3:22-013001-001:HA, am13:24-030039-001:NP, am4N1:24-030039-001:NA, am24:24-030039-001:PB2, ea3:22-013001-001:NS, am4:24-030039-001:PA","99.16%, 100.00%, 99.41%, 99.53%, 99.04%, 99.52%, 98.93%, 99.44%","19, 0, 10, 7, 10, 11, 9, 12",Ran on FASTA - No Coverage Report,USA,2025
