,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,serotype,isolation_source,BioSample Accession,is_retracted,retraction_detection_date_utc,name_state,sample,date,File Name,Genotype,"Genotype List Used, >=98.0%",Genotype Sample Title List,Genotype Percent Match List,Genotype Mismatch List,Genotype Average Depth of Coverage List,Geo_Location,Collection_Date_Specific
10,SRR33830334,WGS,148.96,82560783,PRJNA1207547,SAMN48895300,Viral,32716088,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051274,USA,,USA,BALD EAGLE,NextSeq 2000,25-015759-001,25-015759-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:09:56,1,25-015759-001,SRP557452,,CLOACAL/TRACHEAL SWAB POOL,SRS25266431,False,,USA,SRR33830334,2025-06-06_07-56-21,SRR33830334.fa,D1.1,"NP:am13, MP:ea3, PB2:am24, NS:ea3, NA:am4N1, PB1:ea3, HA:ea3, PA:am4","am13:24-030039-001:NP, ea3:22-013001-001:MP, am24:24-030039-001:PB2, ea3:22-013001-001:NS, am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, ea3:22-013001-001:HA, am4:24-030039-001:PA","99.87%, 99.69%, 99.61%, 98.81%, 99.33%, 99.22%, 99.35%, 99.66%","2, 3, 9, 10, 7, 14, 11, 6",Ran on FASTA - No Coverage Report,USA,2025
11,SRR33830340,WGS,148.51,42793204,PRJNA980729,SAMN48895409,Viral,16158018,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051299,USA,,USA,CHICKEN,NextSeq 2000,25-016339-009,25-016339-009-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:15:52,1,25-016339-009,SRP441379,,OROPHARYNGEAL SWAB,SRS25266456,False,,USA,SRR33830340,2025-06-06_07-56-21,SRR33830340.fa,D1.1,"HA:ea3, PB2:am24, NS:ea3, MP:ea3, NP:am13, PB1:ea3, PA:am4, NA:am4N1","ea3:22-013001-001:HA, am24:24-030039-001:PB2, ea3:22-013001-001:NS, ea3:22-013001-001:MP, am13:24-030039-001:NP, ea3:22-013001-001:PB1, am4:24-030039-001:PA, am4N1:24-030039-001:NA","99.41%, 99.56%, 98.81%, 100.00%, 99.40%, 99.25%, 99.44%, 99.04%","10, 10, 10, 0, 9, 17, 12, 10",Ran on FASTA - No Coverage Report,USA,2025
12,SRR33830341,WGS,145.66,93545294,PRJNA980729,SAMN48895408,Viral,34887419,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051298,USA,,USA,CHICKEN,NextSeq 2000,25-016339-008,25-016339-008-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:16:06,1,25-016339-008,SRP441379,,OROPHARYNGEAL SWAB,SRS25266455,False,,USA,SRR33830341,2025-06-06_07-56-21,SRR33830341.fa,D1.1,"PB1:ea3, PA:am4, MP:ea3, NA:am4N1, NS:ea3, PB2:am24, HA:ea3, NP:am13","ea3:22-013001-001:PB1, am4:24-030039-001:PA, ea3:22-013001-001:MP, am4N1:24-030039-001:NA, ea3:22-013001-001:NS, am24:24-030039-001:PB2, ea3:22-013001-001:HA, am13:24-030039-001:NP","99.25%, 99.44%, 100.00%, 99.04%, 98.69%, 99.52%, 99.41%, 99.40%","17, 12, 0, 10, 11, 11, 10, 9",Ran on FASTA - No Coverage Report,USA,2025
13,SRR33830342,WGS,148.27,35593479,PRJNA980729,SAMN48895407,Viral,13482029,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051297,USA,,USA,CHICKEN,NextSeq 2000,25-016339-007,25-016339-007-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:16:09,1,25-016339-007,SRP441379,,OROPHARYNGEAL SWAB,SRS25266454,False,,USA,SRR33830342,2025-06-06_07-56-20,SRR33830342.fa,D1.1,"HA:ea3, NA:am4N1, MP:ea3, PB1:ea3, NP:am13, NS:ea3, PB2:am24, PA:am4","ea3:22-013001-001:HA, am4N1:24-030039-001:NA, ea3:22-013001-001:MP, ea3:22-013001-001:PB1, am13:24-030039-001:NP, ea3:22-013001-001:NS, am24:24-030039-001:PB2, am4:24-030039-001:PA","99.41%, 99.04%, 100.00%, 99.25%, 99.40%, 98.81%, 99.56%, 99.43%","10, 10, 0, 17, 9, 10, 10, 10",Ran on FASTA - No Coverage Report,USA,2025
14,SRR33830343,WGS,148.3,69358341,PRJNA980729,SAMN48895406,Viral,25927040,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051296,USA,,USA,CHICKEN,NextSeq 2000,25-016339-006,25-016339-006-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:16:11,1,25-016339-006,SRP441379,,OROPHARYNGEAL SWAB,SRS25266453,False,,USA,SRR33830343,2025-06-06_07-56-20,SRR33830343.fa,D1.1,"NA:am4N1, PA:am4, PB2:am24, HA:ea3, NP:am13, PB1:ea3, MP:ea3, NS:ea3","am4N1:24-030039-001:NA, am4:24-030039-001:PA, am24:24-030039-001:PB2, ea3:22-013001-001:HA, am13:24-030039-001:NP, ea3:22-013001-001:PB1, ea3:22-013001-001:MP, ea3:22-013001-001:NS","99.04%, 99.44%, 99.56%, 99.41%, 99.40%, 99.25%, 100.00%, 98.81%","10, 12, 10, 10, 9, 17, 0, 10",Ran on FASTA - No Coverage Report,USA,2025
15,SRR33830344,WGS,148.05,70110371,PRJNA980729,SAMN48895405,Viral,26079459,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051295,USA,,USA,CHICKEN,NextSeq 2000,25-016339-005,25-016339-005-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:16:27,1,25-016339-005,SRP441379,,OROPHARYNGEAL SWAB,SRS25266452,False,,USA,SRR33830344,2025-06-06_07-56-21,SRR33830344.fa,D1.1,"MP:ea3, PA:am4, PB2:am24, HA:ea3, PB1:ea3, NA:am4N1, NS:ea3, NP:am13","ea3:22-013001-001:MP, am4:24-030039-001:PA, am24:24-030039-001:PB2, ea3:22-013001-001:HA, ea3:22-013001-001:PB1, am4N1:24-030039-001:NA, ea3:22-013001-001:NS, am13:24-030039-001:NP","100.00%, 99.44%, 99.52%, 99.41%, 99.25%, 99.04%, 98.81%, 99.40%","0, 12, 11, 10, 17, 10, 10, 9",Ran on FASTA - No Coverage Report,USA,2025
16,SRR33830345,WGS,148.27,14164173,PRJNA980729,SAMN48895404,Viral,5465612,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051294,USA,,USA,CHICKEN,NextSeq 2000,25-016339-004,25-016339-004-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:16:15,1,25-016339-004,SRP441379,,OROPHARYNGEAL SWAB,SRS25266451,False,,USA,SRR33830345,2025-06-06_07-56-21,SRR33830345.fa,D1.1,"NA:am4N1, NP:am13, PB2:am24, PB1:ea3, PA:am4, MP:ea3, NS:ea3, HA:ea3","am4N1:24-030039-001:NA, am13:24-030039-001:NP, am24:24-030039-001:PB2, ea3:22-013001-001:PB1, am4:24-030039-001:PA, ea3:22-013001-001:MP, ea3:22-013001-001:NS, ea3:22-013001-001:HA","99.04%, 99.40%, 99.56%, 99.25%, 99.43%, 100.00%, 98.81%, 99.41%","10, 9, 10, 17, 10, 0, 10, 10",Ran on FASTA - No Coverage Report,USA,2025
17,SRR33830346,WGS,148.52,35781805,PRJNA980729,SAMN48895403,Viral,13728516,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051293,USA,,USA,CHICKEN,NextSeq 2000,25-016339-003,25-016339-003-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:16:36,1,25-016339-003,SRP441379,,OROPHARYNGEAL SWAB,SRS25266450,False,,USA,SRR33830346,2025-06-06_07-56-21,SRR33830346.fa,D1.1,"PB2:am24, NS:ea3, NA:am4N1, PA:am4, PB1:ea3, NP:am13, HA:ea3, MP:ea3","am24:24-030039-001:PB2, ea3:22-013001-001:NS, am4N1:24-030039-001:NA, am4:24-030039-001:PA, ea3:22-013001-001:PB1, am13:24-030039-001:NP, ea3:22-013001-001:HA, ea3:22-013001-001:MP","99.56%, 98.81%, 99.04%, 99.43%, 99.25%, 99.40%, 99.41%, 100.00%","10, 10, 10, 10, 17, 9, 10, 0",Ran on FASTA - No Coverage Report,USA,2025
18,SRR33830347,WGS,148.36,43183157,PRJNA980729,SAMN48895402,Viral,16486922,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051292,USA,,USA,CHICKEN,NextSeq 2000,25-016339-002,25-016339-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:16:29,1,25-016339-002,SRP441379,,OROPHARYNGEAL SWAB,SRS25266449,False,,USA,SRR33830347,2025-06-06_07-56-21,SRR33830347.fa,D1.1,"NA:am4N1, PA:am4, PB2:am24, NS:ea3, NP:am13, HA:ea3, PB1:ea3, MP:ea3","am4N1:24-030039-001:NA, am4:24-030039-001:PA, am24:24-030039-001:PB2, ea3:22-013001-001:NS, am13:24-030039-001:NP, ea3:22-013001-001:HA, ea3:22-013001-001:PB1, ea3:22-013001-001:MP","99.04%, 99.44%, 99.52%, 98.69%, 99.40%, 99.41%, 99.25%, 100.00%","10, 12, 11, 11, 9, 10, 17, 0",Ran on FASTA - No Coverage Report,USA,2025
19,SRR33830348,WGS,148.38,64618810,PRJNA980729,SAMN48895401,Viral,24323019,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051291,USA,,USA,CHICKEN,NextSeq 2000,25-016339-001,25-016339-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:16:30,1,25-016339-001,SRP441379,,OROPHARYNGEAL SWAB,SRS25266448,False,,USA,SRR33830348,2025-06-06_07-56-20,SRR33830348.fa,D1.1,"NP:am13, MP:ea3, PB2:am24, NS:ea3, PA:am4, HA:ea3, NA:am4N1, PB1:ea3","am13:24-030039-001:NP, ea3:22-013001-001:MP, am24:24-030039-001:PB2, ea3:22-013001-001:NS, am4:24-030039-001:PA, ea3:22-013001-001:HA, am4N1:24-030039-001:NA, ea3:22-013001-001:PB1","99.40%, 100.00%, 99.56%, 98.81%, 99.44%, 99.41%, 99.04%, 99.25%","9, 0, 10, 10, 12, 10, 10, 17",Ran on FASTA - No Coverage Report,USA,2025
20,SRR33830349,WGS,148.41,47830400,PRJNA980729,SAMN48895400,Viral,18164763,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051290,USA,,USA,CHICKEN,NextSeq 2000,25-016338-002,25-016338-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:16:31,1,25-016338-002,SRP441379,,swab,SRS25266447,False,,USA,SRR33830349,2025-06-06_07-56-21,SRR33830349.fa,D1.1,"NA:am4N1, PB1:ea3, NP:am13, PB2:am24, NS:ea3, MP:ea3, HA:ea3, PA:am4","am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, am13:24-030039-001:NP, am24:24-030039-001:PB2, ea3:22-013001-001:NS, ea3:22-013001-001:MP, ea3:22-013001-001:HA, am4:24-030039-001:PA","99.52%, 99.21%, 99.60%, 99.43%, 98.93%, 99.69%, 99.35%, 99.26%","5, 18, 6, 13, 9, 3, 11, 13",Ran on FASTA - No Coverage Report,USA,2025
21,SRR33830355,WGS,148.33,55990153,PRJNA1102327,SAMN48895509,Viral,20858207,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051399,USA,,USA,CATTLE,NextSeq 2000,25-016216-005,25-016216-005-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:24:08,1,25-016216-005,SRP503016,,"MILK, BULK TANK",SRS25266555,False,,USA,SRR33830355,2025-06-06_07-56-21,SRR33830355.fa,B3.13,"HA:ea1, PB2:am2.2, PA:ea1, MP:ea1, PB1:am4, NA:ea1, NP:am8, NS:am1.1","ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, ea1:22-003707-003:MP, am4:23-001855-001:PB1, ea1:22-003707-003:NA, am8:23-032005-001:NP, am1.1:22-010085-001:NS","98.06%, 98.33%, 98.88%, 98.98%, 99.52%, 98.72%, 98.86%, 98.93%","33, 38, 24, 10, 11, 18, 17, 9",Ran on FASTA - No Coverage Report,USA,2025
22,SRR33830356,WGS,147.98,66468300,PRJNA1102327,SAMN48895508,Viral,24829045,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051398,USA,,USA,CATTLE,NextSeq 2000,25-016216-004,25-016216-004-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:24:20,1,25-016216-004,SRP503016,,"MILK, BULK TANK",SRS25266554,False,,USA,SRR33830356,2025-06-06_07-56-21,SRR33830356.fa,B3.13,"NA:ea1, PB2:am2.2, NS:am1.1, PB1:am4, PA:ea1, MP:ea1, HA:ea1, NP:am8","ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, ea1:22-003707-003:PA, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am8:23-032005-001:NP","98.58%, 98.47%, 98.81%, 99.47%, 98.84%, 98.88%, 98.24%, 98.86%","20, 35, 10, 12, 25, 11, 30, 17",Ran on FASTA - No Coverage Report,USA,2025
23,SRR33830357,WGS,148.41,43625396,PRJNA1102327,SAMN48895507,Viral,16503039,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051397,USA,,USA,CATTLE,NextSeq 2000,25-016216-003,25-016216-003-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:24:11,1,25-016216-003,SRP503016,,"MILK, BULK TANK",SRS25266553,False,,USA,SRR33830357,2025-06-06_07-56-20,SRR33830357.fa,B3.13,"NA:ea1, PB2:am2.2, NS:am1.1, HA:ea1, PB1:am4, NP:am8, MP:ea1, PA:ea1","ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, am1.1:22-010085-001:NS, ea1:22-003707-003:HA, am4:23-001855-001:PB1, am8:23-032005-001:NP, ea1:22-003707-003:MP, ea1:22-003707-003:PA","98.58%, 98.47%, 98.81%, 98.24%, 99.47%, 98.86%, 98.88%, 98.84%","20, 35, 10, 30, 12, 17, 11, 25",Ran on FASTA - No Coverage Report,USA,2025
