State,Abbreviation,Division,Region,Country,Latitude,Longitude
Cordoba,Cordoba,,,Argentina,,
Neuquen,Neuquen,,,Argentina,,
Puerto_Madryn,Madryn,,,Argentina,,
Sarmiento,Sarmiento,,,Argentina,,
Antarctica,Antarctica,,,Antarctica,,
Antartica,Antarctica,,,Antarctica,,
Beak_Island,Beak_Island,,,Antarctica,,
Bird_Island,Bird_Island,,,Antarctica,,
Crozet,Crozet,,,Antarctica,,
Devil_Island,Devil_Island,,,Antarctica,,
Fildes_Peninsula,Fildes_Peninsula,,,Antarctica,,
Harpon_Bay,Harpon_Bay,,,Antarctica,,
Hope_Bay,Hope_Bay,,,Antarctica,,
Hound_Bay,Hound_Bay,,,Antarctica,,
Jason_Harbour,Jason_Harbour,,,Antarctica,,
Kerguelen,Kerguelen,,,Antarctica,,
King_Edward_Cove,King_Edward_Cove,,,Antarctica,,
King_Edward_Point,King_Edward_Point,,,Antarctica,,
Moltke_Harbour,Moltke_Harbour,,,Antarctica,,
Penguin_River,Penguin_River,,,Antarctica,,
South_Shetland_Islands,South_Shetland_Islands,,,Antarctica,,
Torgersen_Island,Torgersen_Island,,,Antarctica,,
Bolivar,Bolivar,,,Venezuela,,
Brazil,Brazil,,,Brazil,,
Brazil-ES,ES,,,Brazil,,
Espirito_Santo,ES,,,Brazil,,
Parana,PR,,,Brazil,,
Brazil-PR,PR,,,Brazil,,
Mato_Grosso_do_Sul,MS,,,Brazil,,
Rio_de_Janeiro,RJ,,,Brazil,,
Rio_Grande_do_Sul,RS,,,Brazil,,
Santa_Catarina,SC,,,Brazil,,
Sao_Francisco_do_Sul,SC,,,Brazil,,
Sao_Paulo,SP,,,Brazil,,
Cochabamba,Cochabamba,,,Bolivia,,
Potosi,Potosi,,,Bolivia,,
Costa_Rica,Costa_Rica,,,Costa_Rica,,
Ecuador,Ecuador,,,Ecuador,,
Falkland_Islands,Falkland_Islands,,,UK,,
Guatemala,Guatemala,,,Guatemala,,
Honduras,Honduras,,,Honduras,,
Lima,Lima,,,Peru,,
Peru,Peru,,,Peru,,
Panama,Panama,,,Panama,,
Uruguay,Uruguay,,,Uruguay,,
