,avian,cattle,feline,other_mammal,human,other,new
35,wild_duck,,hybrid tiger (panthera),south_american_sea_lion,,,
36,pelican,,mountain lion (captive),south_american_fur_seal,,,
37,blue_jay,,caracal,chungungo,,,
38,european_starling,,felis_catus,antarctic_fur_seal,,,
39,northern_pintail,,,mephitidae,,,
40,greater_white-fronted_goose,,,procyon lotor,,,
41,swanson's_hawk,,,sus scrofa,,,
42,rock_pigeon,,,capra hircus,,,
43,common_goldeneye,,,vicugna pacos,,,
44,crow,,,mus musculus,,,
45,turkey_vulture,,,vulpes vulpes,,,
46,bufflehead,,,neogale_vison,,,
47,cooper_s_hawk,,,tibetan_blue_bear,,,
48,hooded_merganser,,,stone_marten,,,
49,gallus,,,common_dolphin,,,
50,burrowing_owl,,,artic_fox,,,
51,wild_turkey,,,mustela_putorius,,,
52,turkey,,,polecat,,,
53,owl,,,tanuki,,,
54,american_wigeon,,,fur_seal,,,
55,common_eider,,,porpoise_,,,
56,swallow,,,murine,,,
57,chicken,,,northern_fur_seal,,,
58,ross's_goose,,,sea_otter,,,
59,goose,,,ferret,,,
60,red-breasted_merganser,,,white_mink,,,
61,glaucous_winged_gull,,,ezo_red_fox,,,
62,comon_goldeneye,,,raccoon_dog,,,
63,hawk,,,arctic-fox,,,
64,guinea_fowl,,,bush_dog,,,
65,merganser,,,seal,,,
66,great_blue_heron,,,silver_fox,,,
67,red-shouldered_hawk,,,vulpes_vulpes,,,
68,crested_caracara,,,mustela_furo,,,
69,quail,,,badger,,,
70,green_winged_teal,,,harbour_porpoise,,,
71,falcon,,,otter,,,
72,american_kestrel,,,grey_seal,,,
73,duck,,,blue_fox,,,
74,gull,,,canine,,,
75,ring-necked_duck,,,european_polecat,,,
76,wild_goose,,,coati,,,
77,gull_spp.,,,arctic_fox,,,
78,white_winged_scoter,,,opossum,,,
79,muscovy_duck,,,,,,
80,guineafowl,,,,,,
81,green-winged_teal,,,,,,
82,emu,,,,,,
83,american_black_duck,,,,,,
84,black-crowned_night-heron,,,,,,
85,avian,,,,,,
86,snowy_owl,,,,,,
87,northern_shoveler,,,,,,
88,american_white_pelican,,,,,,
89,common_merganser,,,,,,
90,mute_swan,,,,,,
91,common_loon,,,,,,
92,american_crow,,,,,,
93,western_gull,,,,,,
94,cackling_goose,,,,,,
95,rosss_goose,,,,,,
96,partridge,,,,,,
97,dove,,,,,,
98,canada_goose,,,,,,
99,surf_scoter,,,,,,
100,ring-billed_gull,,,,,,
101,ostrich,,,,,,
102,lesser_scaup,,,,,,
103,great_egret,,,,,,
104,redhead,,,,,,
105,black_crowned_night_heron,,,,,,
106,short_eared_owl,,,,,,
107,thayers_gull,,,,,,
108,atlantic_puffin,,,,,,
109,glaucous-winged_gull,,,,,,
110,black_crowned_night-heron,,,,,,
111,sabine's_gull,,,,,,
112,domestic_turkey,,,,,,
113,common_murre,,,,,,
114,laridae,,,,,,
115,black_skimmer,,,,,,
116,gadwall_duck,,,,,,
117,great-tailed_grackle,,,,,,
118,northern_harrier,,,,,,
119,brandt_goose,,,,,,
120,black_swan,,,,,,
121,swainsons_hawk,,,,,,
122,layer_chicken,,,,,,
123,red-necked_grebe,,,,,,
124,domestic_duck,,,,,,
125,american_green_winged_teal,,,,,,
126,northwestern_crow,,,,,,
127,black_brant,,,,,,
128,common_grackle,,,,,,
129,wild-bird,,,,,,
130,black_turnstone,,,,,,
131,roseate_spoonbill,,,,,,
132,american_wood_stork,,,,,,
133,double-crested_cormorant,,,,,,
134,scoter,,,,,,
135,parasitic_jaeger,,,,,,
136,black_scoter,,,,,,
137,american_robin,,,,,,
138,red_necked_phalarope,,,,,,
139,red_shouldered_hawk,,,,,,
140,cinnamon_teal,,,,,,
141,peacock,,,,,,
142,broad-winged_hawk,,,,,,
143,greater_yellowlegs,,,,,,
144,common_barn_owl,,,,,,
145,pekin_duck,,,,,,
146,dovekie,,,,,,
147,wild_bird,,,,,,
148,eagle,,,,,,
149,fish_crow,,,,,,
150,grackle,,,,,,
151,brant,,,,,,
152,common_tern,,,,,,
153,lesser_snow_goose,,,,,,
154,magpie,,,,,,
155,western_snowy_plover,,,,,,
156,royal_tern,,,,,,
157,black-billed_magpie,,,,,,
158,arctic_tern,,,,,,
159,taiwanese_chicken,,,,,,
160,khaki_campbell_duck,,,,,,
161,eider,,,,,,
162,red_necked_grebe,,,,,,
163,caspian_tern,,,,,,
164,short_billed_gull,,,,,,
165,poultry,,,,,,
166,blackbird,,,,,,
167,eared_grebe,,,,,,
168,double_crested_cormorant,,,,,,
169,brown_pelican,,,,,,
170,black_legged_kittiwake,,,,,,
171,blue_winged_teal,,,,,,
172,rough-legged_hawk,,,,,,
173,northern_gannet,,,,,,
174,bonapartes_gull,,,,,,
175,waterfowl,,,,,,
176,snowy_egret,,,,,,
177,great_black-backed_gulll,,,,,,
178,domestic_goose,,,,,,
179,snowy_plover,,,,,,
180,american_coot,,,,,,
181,white-winged_scoter,,,,,,
182,redhead_duck,,,,,,
183,whistling_swan,,,,,,
184,greater_scaup,,,,,,
185,broad_winged_hawk,,,,,,
186,teal,,,,,,
187,razorbill,,,,,,
188,gannet,,,,,,
189,ruddy_turnstone,,,,,,
190,mottled_duck,,,,,,
191,short-tailed_shearwaters,,,,,,
192,neotropic_cormorant,,,,,,
193,raven,,,,,,
194,manx_shearwater,,,,,,
195,rossss_goose,,,,,,
196,western_sandpiper,,,,,,
197,ferruginous_hawk,,,,,,
198,california_condor,,,,,,
199,great_shearwater,,,,,,
200,ruffed_grouse,,,,,,
201,great_grey_owl,,,,,,
202,merlin,,,,,,
203,glaucous_gull,,,,,,
204,lesser_white-fronted_goose,,,,,,
205,rough_legged_hawk,,,,,,
206,cormorant,,,,,,
207,sandwich_tern,,,,,,
208,silkie_chicken,,,,,,
209,western_screech_owl,,,,,,
210,raptor,,,,,,
211,bar-headed_goose,,,,,,
212,western_grebe,,,,,,
213,harriss_hawk,,,,,,
214,green_heron,,,,,,
215,horned_grebe,,,,,,
216,corvus_ossifragus,,,,,,
217,ring-necked_pheasant,,,,,,
218,short-billed_gull,,,,,,
219,black-legged_kittiwake,,,,,,
220,pintail,,,,,,
221,eastern_screech_owl,,,,,,
222,sparrow,,,,,,
223,california_gull,,,,,,
224,willet,,,,,,
225,broiler_breeders_chicken,,,,,,
226,american_blue_winged_teal,,,,,,
227,franklins_gull,,,,,,
228,sharp_shinned_hawk,,,,,,
229,iceland_gull,,,,,,
230,great_black_backed_gull,,,,,,
231,european starling,,,,,,
232,common grackle,,,,,,
233,rock pigeon,,,,,,
234,western gull,,,,,,
235,common raven,,,,,,
236,great blue heron,,,,,,
237,american robin,,,,,,
238,red-shouldered hawk,,,,,,
239,american wigeon,,,,,,
240,western kingbird,,,,,,
241,double-crested cormorant,,,,,,
242,snowy owl,,,,,,
243,snow goose,,,,,,
244,crested caracara,,,,,,
245,cago,,,,,,
246,red-breasted merganser,,,,,,
247,comon-grackle,,,,,,
248,herring gull,,,,,,
249,blue jay,,,,,,
250,bald eagle,,,,,,
251,ruddy duck,,,,,,
252,canada goose,,,,,,
253,white-winged dove,,,,,,
254,pefa,,,,,,
255,red-tailed hawk,,,,,,
256,wood duck,,,,,,
257,black billed magpie,,,,,,
258,black-crowned night-heron,,,,,,
259,white-faced ibis,,,,,,
260,great horned owl,,,,,,
261,trumpeter swan,,,,,,
262,northern shoveler,,,,,,
263,common goldeneye,,,,,,
264,american woodcock,,,,,,
265,green-winged teal,,,,,,
266,mallard x american black duck hybrid,,,,,,
267,ring-billed gull,,,,,,
268,tundra swan,,,,,,
269,hosp,,,,,,
270,cooper's hawk,,,,,,
271,barn owl,,,,,,
272,american black duck,,,,,,
273,mute swan,,,,,,
274,turkey vulture,,,,,,
275,hooded merganser,,,,,,
276,black vulture,,,,,,
277,house sparrow,,,,,,
278,cackling goose,,,,,,
279,american crow,,,,,,
280,eurasian collared dove,,,,,,
281,northern pintail,,,,,,
282,burrowing owl,,,,,,
283,sandhill crane,,,,,,
284,guinea fowl,,,,,,
285,red tailed hawk,,,,,,
286,western sandpiper,,,,,,
287,ganada goose,,,,,,
288,harris hawk,,,,,,
289,falco peregrinus,,,,,,
290,common eider,,,,,,
291,great black-backed gull,,,,,,
292,common merganser,,,,,,
293,house_sparrow,,,,,,
294,mallard-black_duck_hybrid,,,,,,
295,peregrine ,,,,,,
296,chukar,,,,,,
297,tern,,,,,,
298,backyard_chicken,,,,,,
299,southern_fulmar,,,,,,
300,sterna_hirundo,,,,,,
301,backyard_turkey,,,,,,
302,wildbird-fregata-magnificens,,,,,,
303,numida_meleagris,,,,,,
304,southamerican_tern,,,,,,
305,great_grebe,,,,,,
306,pelecanus_thagus,,,,,,
307,wildbird-sula-nebouxii,,,,,,
308,peruvian_booby,,,,,,
309,belcher_gull,,,,,,
310,chiloe_wigeon,,,,,,
311,buteogallus_urubitinga,,,,,,
312,blackish_oystercatcher,,,,,,
313,thalasseus_maximus,,,,,,
314,pelecanus,,,,,,
315,buff-necked_ibis,,,,,,
316,thalasseus_acuflavidus,,,,,,
317,megascops_choliba,,,,,,
318,calidris_alba,,,,,,
319,peruvean_booby,,,,,,
320,black-necked_swan,,,,,,
321,brown_booby,,,,,,
322,procellaria_aequinoctialis,,,,,,
323,franklin_gull,,,,,,
324,frigatebird,,,,,,
325,chilean_teal,,,,,,
326,south_polar_skua,,,,,,
327,elegant_tern,,,,,,
328,south_american_tern,,,,,,
329,backyard_duck,,,,,,
330,sula_leucogaster,,,,,,
331,band-tailed_gull,,,,,,
332,gray_gull,,,,,,
333,great_grabe,,,,,,
334,franklin's_gull,,,,,,
335,guanay_cormorant,,,,,,
336,kelp_gull,,,,,,
337,inca_tern,,,,,,
338,pelecanus_occidentalis,,,,,,
339,humboldt_penguin,,,,,,
340,pluvialis_dominica,,,,,,
341,gallus_gallus,,,,,,
342,antarctic_tern,,,,,,
343,brown_skua,,,,,,
344,south_georgia_shag,,,,,,
345,athene cunicularia,,,,,,
346,accipitridae,,,,,,
347,numididae,,,,,,
348,cairina moschata,,,,,,
349,corvus,,,,,,
350,gallus gallus,,,,,,
351,scolopax minor,,,,,,
352,meleagris gallopavo,,,,,,
353,anatidae,,,,,,
354,passer domesticus,,,,,,
355,pavo,,,,,,
356,gruidae,,,,,,
357,pelecanidae,,,,,,
358,bubo virginianus,,,,,,
359,anser caerulescens,,,,,,
360,corvus brachyrhynchos,,,,,,
361,columba livia,,,,,,
362,turdus migratorius,,,,,,
363,galliformes,,,,,,
364,calidris mauri,,,,,,
365,phoenicopterus roseus,,,,,,
366,gyps fulvus,,,,,,
367,aves,,,,,,
368,dromaius novaehollandiae,,,,,,
369,ardea herodias,,,,,,
370,mareca americana,,,,,,
371,branta hutchinsii,,,,,,
372,turdus merula,,,,,,
373,branta canadensis,,,,,,
374,streptopelia decaocto,,,,,,
375,phasianinae,,,,,,
376,bubo scandiacus,,,,,,
377,numididae sp.,,,,,,
378,anas carolinensis,,,,,,
379,buteo jamaicensis,,,,,,
380,nycticorax nycticorax,,,,,,
381,strigidae,,,,,,
382,columbidae,,,,,,
383,mareca strepera,,,,,,
384,tyto alba,,,,,,
385,alectoris chukar,,,,,,
386,corvus corax,,,,,,
387,cygnus olor,,,,,,
388,buteo lineatus,,,,,,
389,aix sponsa,,,,,,
390,cathartes aura,,,,,,
391,zenaida asiatica,,,,,,
392,anas platyrhynchos,,,,,,
393,haliaeetus leucocephalus,,,,,,
394,larus occidentalis,,,,,,
395,icteridae,,,,,,
396,lophodytes cucullatus,,,,,,
397,common_eiders,,,,,,
398,accipiter cooperii,,,,,,
399,parabuteo unicinctus,,,,,,
400,northern_fulmar,,,,,,
401,black scoter,,,,,,
402,brandt goose,,,,,,
403,surf scoter,,,,,,
404,great black-backed gulll,,,,,,
405,common loon,,,,,,
406,white-winged scoter,,,,,,
407,corvus ossifragus,,,,,,
408,lesser scaup,,,,,,
409,peregrine,,,,,,
410,rock_goose,,,,,,
411,sand_crane,,,,,,
412,american_green-winged_teal,,,,,,
413,bonaparte's_gull,,,,,,
414,sharp-shinned_hawk,,,,,,
415,sharp-shinned hawk,,,,,,
416,bonaparte's gull,,,,,,
417,american coot,,,,,,
418,greater scaup,,,,,,
419,snowy egret,,,,,,
420,barred owl,,,,,,
421,glaucous gull,,,,,,
422,rock goose,,,,,,
423,sand crane,,,,,,
424,ross's goose,,,,,,
425,great egret,,,,,,
426,guinea,,,,,,
427,perdicinae,,,,,,
428,anas_platyrhynchos,,,,,,
429,brown-headed_gull,,,,,,
430,phalacrocorax_carbo,,,,,,
431,pelecanus_conspicillatus,,,,,,
432,rural_goose,,,,,,
433,strix_uralensis,,,,,,
434,european_herring_gull,,,,,,
435,golden_eagle,,,,,,
436,northem_pintail,,,,,,
437,towny_owel,,,,,,
438,red-fox,,,,,,
439,chroicocephalus_ridibundus,,,,,,
440,common_pheasant_,,,,,,
441,ardea_cinerea,,,,,,
442,white_stork_,,,,,,
443,_rough-legged_buzzard_,,,,,,
444,cygnus_atratus,,,,,,
445,pochard_duck,,,,,,
446,larus_argentatus,,,,,,
447,common-kingfisher,,,,,,
448,western_barn_owl,,,,,,
449,common_guillemot,,,,,,
450,whooper-swan,,,,,,
451,brant_goose,,,,,,
452,hooded_crane,,,,,,
453,luscinia_cyane,,,,,,
454,oystercatcher,,,,,,
455,perigrine_falcon,,,,,,
456,laying-hen,,,,,,
457,eurasian_eagle_owl,,,,,,
458,bean_goose,,,,,,
459,cormorants,,,,,,
460,gypaetus_barbatus,,,,,,
461,pink_footed_goose,,,,,,
462,buteo_buteo,,,,,,
463,guinea_fowl-chicken,,,,,,
464,green_sandpiper,,,,,,
465,common-shelduck,,,,,,
466,common-kestrel,,,,,,
467,western_marsh_harrier,,,,,,
468,ichtyaetus_melanocephalus,,,,,,
469,wild_geese,,,,,,
470,kittiwake,,,,,,
471,mixed_domestic_phasianidae,,,,,,
472,reed_warbler,,,,,,
473,pica_pica,,,,,,
474,spot-billed_duck,,,,,,
475,pavo_cristatus,,,,,,
476,lesser_black-backed_gull_,,,,,,
477,indian_peafowl,,,,,,
478,anser_albifrons,,,,,,
479,mediterranean_gull,,,,,,
480,painted_stork,,,,,,
481,common_buzzard_,,,,,,
482,larus,,,,,,
483,grey_goose,,,,,,
484,red-breasted_goose,,,,,,
485,black_headed_seagull,,,,,,
486,falcated_duck,,,,,,
487,european_herringgull,,,,,,
488,crested_auklet,,,,,,
489,common_gull_,,,,,,
490,rhea,,,,,,
491,pelecanus_crispus,,,,,,
492,sacred-ibis,,,,,,
493,red-crowned_crane,,,,,,
494,gull10,,,,,,
495,tachybaptus_ruficollis,,,,,,
496,jungle_crow,,,,,,
497,greylag_goose,,,,,,
498,eurasian_goshawk,,,,,,
499,_peregrine_falcon_,,,,,,
500,_eurasian_eagle-owl,,,,,,
501,common_gull,,,,,,
502,sand_piper,,,,,,
503,greylaggoose,,,,,,
504,common_pochard,,,,,,
505,red_knot,,,,,,
506,anser_brachyrhynchus,,,,,,
507,breeding_hen,,,,,,
508,lapwing,,,,,,
509,brahma_chicken,,,,,,
510,kestrel,,,,,,
511,cairina_moschata,,,,,,
512,notherngannet,,,,,,
513,black_faced_spoonbill,,,,,,
514,greater_rhea,,,,,,
515,white_peacock,,,,,,
516,lesser_auk,,,,,,
517,anas_platyrhynchos_domesticus,,,,,,
518,black-throated_crane,,,,,,
519,numenius_arquata,,,,,,
520,ural_owl,,,,,,
521,ornamental_bird,,,,,,
522,aalopochen_aegyptiaca,,,,,,
523,coscoroba_swan,,,,,,
524,domestic-goose,,,,,,
525,anser_cygnoides,,,,,,
526,slender-billed_gull,,,,,,
527,white_tailed_eagle,,,,,,
528,_european_herring_gull,,,,,,
529,spotbill_duck,,,,,,
530,rural_chicken,,,,,,
531,gallus_gallus_domesticus,,,,,,
532,common_magpie,,,,,,
533,mule_duck,,,,,,
534,corvus_monedula,,,,,,
535,pomeranian_goose,,,,,,
536,gull-billed_tern,,,,,,
537,eurasian-wigeon,,,,,,
538,white-fronted_goose,,,,,,
539,g_c_grebe,,,,,,
540,geese,,,,,,
541,mute-swan,,,,,,
542,greater_canada_goose,,,,,,
543,m_swan,,,,,,
544,korean_native_chicken,,,,,,
545,great_black-headed_gull,,,,,,
546,common_crane,,,,,,
547,mixed_wild_birds,,,,,,
548,whiskered_tern,,,,,,
549,red-backed-hawk,,,,,,
550,rural_turkey,,,,,,
551,graylag_goose,,,,,,
552,tyto_alba,,,,,,
553,crowned_crane_zoo,,,,,,
554,emy,,,,,,
555,tawny_owl,,,,,,
556,podiceps_cristatus,,,,,,
557,larus_ridibundus,,,,,,
558,black_headed_gull,,,,,,
559,curlew,,,,,,
560,shoveler,,,,,,
561,dalmatian_pelican,,,,,,
562,little_gull,,,,,,
563,black-tailed_gull,,,,,,
564,nothern_gannet,,,,,,
565,rural_laying_hen,,,,,,
566,chichen,,,,,,
567,zoo_pelican,,,,,,
568,pilgrim_falcon,,,,,,
569,hens,,,,,,
570,little_owl,,,,,,
571,cygnus-columbianus,,,,,,
572,european_herring_gullnorway,,,,,,
573,p_falcon,,,,,,
574,egyptian_goose,,,,,,
575,em,,,,,,
576,cygnus-cygnus,,,,,,
577,anser_fabalis,,,,,,
578,bar_headed_goose,,,,,,
579,green-winged-teal,,,,,,
580,herrin_gull,,,,,,
581,grey_heron_,,,,,,
582,stork,,,,,,
583,l-bl-ba-gull,,,,,,
584,carrion_crow,,,,,,
585,_peregrine_falcon,,,,,,
586,indian_runner_ducks,,,,,,
587,rooster,,,,,,
588,muteswan,,,,,,
589,branta_leucopsis,,,,,,
590,great_crested_grebe,,,,,,
591,hobby_falcon,,,,,,
592,ciconia_ciconia,,,,,,
593,mulard_duck,,,,,,
594,yellow-legged-gull,,,,,,
595,pine_marten,,,,,,
596,greater_canada_goose_,,,,,,
597,black-legged_kitiwake,,,,,,
598,commontern,,,,,,
599,eurasian_wigeon,,,,,,
600,blach-headed_gull,,,,,,
601,common_golden_eye,,,,,,
602,bl_h_gull,,,,,,
603,kestral,,,,,,
604,anas_platyrhynchos_domestica,,,,,,
605,common_peacock,,,,,,
606,common_buzzard,,,,,,
607,larus_marinus,,,,,,
608,ancient_murrelet,,,,,,
609,common_quail,,,,,,
610,bubo_bubo,,,,,,
611,large-billed_crow,,,,,,
612,common-buzzard,,,,,,
613,gray_heron,,,,,,
614,greylag_goose_,,,,,,
615,otus_scops,,,,,,
616,shelduck,,,,,,
617,short-eared_owl,,,,,,
618,cignus_olor,,,,,,
619,duck_muscovy,,,,,,
620,grebe,,,,,,
621,yellow-legged_gull,,,,,,
622,jackdaw,,,,,,
623,rissa_tridactyla,,,,,,
624,ruddy_shelduck,,,,,,
625,knot_wader,,,,,,
626,duck_,,,,,,
627,audouins_gull,,,,,,
628,great_black-baked_gull,,,,,,
629,spatula_querquedula,,,,,,
630,gray_lag_goose,,,,,,
631,rural_duck,,,,,,
632,haliaeetus_albicilla,,,,,,
633,mixed_domestic_anatidae,,,,,,
634,whistling_duck,,,,,,
635,black_kite,,,,,,
636,european_robin,,,,,,
637,peregrine-falcon,,,,,,
638,goshawk,,,,,,
639,long-eared_owl,,,,,,
640,great_skua,,,,,,
641,black-backed_gull,,,,,,
642,mandarin_duck,,,,,,
643,black-headed_gull_,,,,,,
644,c_gull,,,,,,
645,great_cormorant,,,,,,
646,harbour_seal,,,,,,
647,bird,,,,,,
648,caspian_gull,,,,,,
649,tufted_duck,,,,,,
650,bulbul,,,,,,
651,morus_bassanus,,,,,,
652,yellow_legged-gull,,,,,,
653,guinea-fowl,,,,,,
654,falco_peregrinus,,,,,,
655,baikal_teal,,,,,,
656,larus_cachinnans,,,,,,
657,eurasian_spoonbill,,,,,,
658,gr_bk_bd_gull,,,,,,
659,bk_swan,,,,,,
660,cygnus_olor,,,,,,
661,harris_hawk,,,,,,
662,slaty-backed_gull,,,,,,
663,hering_gull,,,,,,
664,moorhen,,,,,,
665,anser_anser_domesticus,,,,,,
666,domestic-duck,,,,,,
667,black-headed-gull,,,,,,
668,_great_cormorant_,,,,,,
669,aythya_fuligula,,,,,,
670,bufflehead_duck,,,,,,
671,anser,,,,,,
672,common_teal,,,,,,
673,common_snipe,,,,,,
674,cape_barren_goose,,,,,,
675,armenian_gull,,,,,,
676,carolina_duck,,,,,,
677,streptopelia_decaocto,,,,,,
678,white_stork,,,,,,
679,guillemot,,,,,,
680,pink-footed_goose,,,,,,
681,eurasian_curlew,,,,,,
682,chiken,,,,,,
683,falcated_teal,,,,,,
684,coot,,,,,,
685,little-owl,,,,,,
686,common_tern_,,,,,,
687,europian_wigeon,,,,,,
688,wigeon,,,,,,
689,brent_goose,,,,,,
690,holland_pigeon,,,,,,
691,black-headed_gull,,,,,,
692,fulmar,,,,,,
693,eurasian_eagle-owl,,,,,,
694,canadagoose,,,,,,
695,little_egret,,,,,,
696,madarin_duck,,,,,,
697,northern_lapwing,,,,,,
698,little_grebe,,,,,,
699,european_turtle_dove,,,,,,
700,european_herring_gull_,,,,,,
701,peregrine_falcon_,,,,,,
702,ardea_alba,,,,,,
703,_greylag_goose,,,,,,
704,withe-tiled_eagle,,,,,,
705,egretta_garzetta,,,,,,
706,hen,,,,,,
707,bearded_vulture,,,,,,
708,greylag-goose,,,,,,
709,canade_goose,,,,,,
710,eur_wig,,,,,,
711,barnacle_goose_,,,,,,
712,eurasian_jay,,,,,,
713,columba_palumbus,,,,,,
714,europeanherringgull,,,,,,
715,larus_michahellis,,,,,,
716,white-naped_crane,,,,,,
717,garganey,,,,,,
718,taiga_bean_goose,,,,,,
719,eurasian_goshawk_,,,,,,
720,australian_brushturkey,,,,,,
721,gull1,,,,,,
722,branta_canadensis,,,,,,
723,meleagris_gallopavo,,,,,,
724,eurasian_oystercatcher,,,,,,
725,nene_goose,,,,,,
726,larus_michaellis,,,,,,
727,canada_goose_,,,,,,
728,northern_goshawk,,,,,,
729,song_thrush,,,,,,
730,tundra_bean_goose,,,,,,
731,barnacle_goose,,,,,,
732,grey_heron,,,,,,
733,larus_canus,,,,,,
734,broiler,,,,,,
735,thalasseus_sandvicensis,,,,,,
736,white-tailed_sea_eagle,,,,,,
737,shag,,,,,,
738,gallinula_chloropus,,,,,,
739,sparrowhawk,,,,,,
740,yellow_leggend-gull,,,,,,
741,white_fronted_goose,,,,,,
742,wild_bird_feces,,,,,,
743,little_tern,,,,,,
744,long-tailed_skua,,,,,,
745,eurasian_sparrowhawk,,,,,,
746,sea_eagle,,,,,,
747,western-cattle-egret,,,,,,
748,whooper_swan,,,,,,
749,spot_billed_duck,,,,,,
750,steamer_duck,,,,,,
751,_eurasian_magpie,,,,,,
752,hawaiian_goose,,,,,,
753,artic_tern,,,,,,
754,eurasian_teal,,,,,,
755,anas_crecca,,,,,,
756,cygnus-olor,,,,,,
757,eastern_buzzard,,,,,,
758,phasianus_colchicus,,,,,,
759,buzzard,,,,,,
760,corvus_corvus,,,,,,
761,garrulus_glandarius,,,,,,
762,common_coot,,,,,,
763,egret,,,,,,
764,mallard_duck,,,,,,
765,rook,,,,,,
766,western_jackdaw,,,,,,
767,eagle_owl,,,,,,
768,lesser_black-backed_gull,,,,,,
769,chlidonias_hybrida,,,,,,
770,chicken_,,,,,,
771,oyster_catcher,,,,,,
772,seagull,,,,,,
773,haematopus_ostralegus,,,,,,
774,common_shelduck,,,,,,
775,decoy_duck,,,,,,
776,mew_gull,,,,,,
777,red_kite,,,,,,
778,black-swan,,,,,,
779,eurasian_eagle-owl_,,,,,,
780,eurasian_magpie,,,,,,
781,black-headead_gull,,,,,,
782,mallard_denmark,,,,,,
783,thick-billed_murre,,,,,,
784,cygnus_columbianus,,,,,,
785,anser_anser,,,,,,
786,mountain_hawk-eagle,,,,,,
787,spoonbill,,,,,,
788,common_pheasant,,,,,,
789,laying_hen,,,,,,
790,yellow_legged_gull,,,,,,
791,wildbird,,,,,,
792,anser_brachyrhynchus_anser_anser,,,,,,
793,cygnus_cygnus,,,,,,
794,eurasian-spoonbill,,,,,,
795,common_kestrel,,,,,,
796,white-tailed_eagle,,,,,,
797,raxorbill,,,,,,
798,von_schrenck's_bittern,,,,,,
799,harris's_hawk,,,,,,
800,eurasian_coot,,,,,,
801,layer,,,,,,
