,Unnamed: 0,wild_avian,domestic_avian,cattle,feline,other_mammal,human,other,pet_food,new
21,21.0,gadwall,broiler_breeders_chicken,,puma concolor,red fox,england,ck,,
22,22.0,swan,layer,,lynx rufus,harbor seal,hunan,barnacle,,
23,23.0,black_vulture,common_pheasant,,leopardus geoffroyi,house-mouse,changsha,decoy_duck,,
24,24.0,sandhill_crane,laying_hen,,african lion,dolphin,jiangsu,house_fly,,
25,25.0,mallard,anser_anser,,amur leopard,weasel,homo sapiens,cheese,,
26,26.0,barred_owl,chicken_,,amur tiger,bottlenose dolphin,homo_sapiens,165,,
27,27.0,dunlin,phasianus_colchicus,,bengal tiger,pig,mexico,147,,
28,28.0,sanderling,broiler,,bobcat (captive),house mouse,mexico_city,162,,
29,29.0,pigeon,hen,,canada lynx,nasua_nasua,canada,bre-ipp04799,,
30,30.0,herring_gull,madarin_duck,,eurasian lynx,sea_lion,navarra,543635,,
31,31.0,trumpeter_swan,chiken,,hybrid tiger (panthera),burmeisters_porpoise,catalonia,148,,
32,32.0,red_tailed_hawk,anser,,mountain lion (captive),otaria_flavescens,copenhagen,129,,
33,33.0,wild_duck,anser_anser_domesticus,,caracal,pinniped,sosnovyi_bor,145,,
34,34.0,pelican,domestic-duck,,felis_catus,southern_elephant_seal,moldova,146,,
35,35.0,blue_jay,guinea-fowl,,cheetah,south_american_sea_lion,trefeglwys,159,,
36,36.0,european_starling,mandarin_duck,,feliformia,south_american_fur_seal,ingushetia,,,
37,37.0,northern_pintail,mixed_domestic_anatidae,,panthera leo,chungungo,moscow-gihsn,,,
38,38.0,greater_white-fronted_goose,duck_,,feral cat,antarctic_fur_seal,burga,,,
39,39.0,swanson's_hawk,anas_platyrhynchos_domestica,,,mephitidae,sakhalin_oblast,,,
40,40.0,rock_pigeon,common_peacock,,geoffroy s cat,procyon lotor,aberdare,,,
41,41.0,common_goldeneye,rooster,,cat domestic not otherwise specified,sus scrofa,zima,,,
42,42.0,crow,guinea,,,capra hircus,coedpoeth,,,
43,43.0,turkey_vulture,perdicinae,,,vicugna pacos,irkutsk,,,
44,44.0,bufflehead,numididae sp.,,,mus musculus,romania_bc,,,
45,45.0,cooper_s_hawk,phasianinae,,,vulpes vulpes,alchevsk,,,
46,46.0,hooded_merganser,dromaius novaehollandiae,,,neogale_vison,luxembourg,,,
47,47.0,gallus,em,,,tibetan_blue_bear,szczecin,,,
48,48.0,burrowing_owl,hens,,,stone_marten,romania_cj,,,
49,49.0,wild_turkey,phoenicopterus roseus,,,common_dolphin,asturias,,,
50,50.0,owl,galliformes,,,artic_fox,zaporizhia,,,
51,51.0,american_wigeon,pavo,,,mustela_putorius,catania,,,
52,52.0,common_eider,anatidae,,,polecat,iiv-moscow,,,
53,53.0,swallow,gallus gallus,,,tanuki,tessenderlo,,,
54,54.0,ross's_goose,numididae,,,fur_seal,vandoeuvre_les_nancy,,,
55,55.0,red-breasted_merganser,gallus_gallus,,,porpoise_,saint-nazaire,,,
56,56.0,glaucous_winged_gull,numida_meleagris,,,murine,madrid,,,
57,57.0,comon_goldeneye,backyard_chicken,,,northern_fur_seal,italy,,,
58,58.0,hawk,backyard_turkey,,,sea_otter,pwllheli,,,
59,59.0,merganser,backyard_duck,,,ferret,arges,,,
60,60.0,great_blue_heron,guinea fowl,,,white_mink,bordeaux,,,
61,61.0,red-shouldered_hawk,partridge,,,ezo_red_fox,melesse,,,
62,62.0,crested_caracara,mixed_domestic_phasianidae,,,raccoon_dog,uglich,,,
63,63.0,green_winged_teal,numida meleagris,,,arctic-fox,zvenigovo,,,
64,64.0,falcon,anas,,,bush_dog,inya,,,
65,65.0,american_kestrel,anatinae,,,seal,belgorod,,,
66,66.0,gull,struthio camelus,,,silver_fox,zhuravka,,,
67,67.0,ring-necked_duck,gallus gallus domesticus,,,vulpes_vulpes,yaroslavl_oblast,,,
68,68.0,wild_goose,backyard chicken,,,mustela_furo,deeside,,,
69,69.0,gull_spp.,pekin duck,,,badger,caen,,,
70,70.0,white_winged_scoter,backyard turkey,,,harbour_porpoise,kungalv,,,
71,71.0,muscovy_duck,backyard duck,,,otter,haute_normandie,,,
72,72.0,green-winged_teal,domestic turkey,,,grey_seal,tallinn,,,
73,73.0,american_black_duck,chicken domestic no breed specified,,,blue_fox,estonia,,,
74,74.0,black-crowned_night-heron,duck domestic not otherwise specified,,,canine,lisboa,,,
75,75.0,avian,chicken domestic layer,,,european_polecat,gornoaltaysk,,,
76,76.0,snowy_owl,turkey domestic grower meat type,,,coati,llangollen,,,
77,77.0,northern_shoveler,broiler breeders chicken,,,arctic_fox,kuzher,,,
78,78.0,american_white_pelican,domestic bird,,,opossum,nizhny_novgorod_oblast,,,
79,79.0,common_merganser,fancy chicken,,,red-fox,nantes,,,
80,80.0,mute_swan,taiwanese chicken,,,wild_mink,baleares,,,
81,81.0,common_loon,layer chicken,,,coyote,tula,,,
82,82.0,american_crow,domestic grower meat type turkey,,,gray_seal,slantsy,,,
83,83.0,western_gull,domestic goose,,,virginia_opossum,poland,,,
84,84.0,cackling_goose,meat-type_turkey,,,mirounga leonina,chernogorsk,,,
85,85.0,rosss_goose,domestic grower,,,nasua nasua,guildford,,,
86,86.0,dove,domestic duck,,,pekania pennanti,mamonovo,,,
87,87.0,canada_goose,chicken domestic broiler meat type,,,canis lupus familiaris,kutulik,,,
88,88.0,surf_scoter,goose domestic,,,halichoerus grypus,sw,,,
89,89.0,ring-billed_gull,domestic chicken,,,phoca vitulina,regensburg,,,
90,90.0,lesser_scaup,turkey domestic not otherwise specified,,,mustela lutreola,bala,,,
91,91.0,great_egret,chicken domestic lbm byd,,,arctocephalus australis,kozmodemyansk,,,
92,92.0,redhead,,,,mephitis mephitis,kuzhener,,,
93,93.0,black_crowned_night_heron,,,,ursus maritimus,orel_oblast,,,
94,94.0,short_eared_owl,,,,leucopleurus acutus,udorn,,,
95,95.0,thayers_gull,,,,delphinus delphis,cwmbran,,,
96,96.0,atlantic_puffin,,,,ursus americanus,albania,,,
97,97.0,glaucous-winged_gull,,,,pinnipedia,halmstad,,,
98,98.0,black_crowned_night-heron,,,,otaria byronia,smolensk,,,
99,99.0,sabine's_gull,,,,otaria flavescens,khmao,,,
100,100.0,common_murre,,,,polar bear,bavaria,,,
101,101.0,laridae,,,,south american fur seal,dijon,,,
102,102.0,black_skimmer,,,,south american sea lion,romania,,,
103,103.0,gadwall_duck,,,,black bear,kalamata,,,
104,104.0,great-tailed_grackle,,,,southern elephant seal,aberaeron,,,
105,105.0,northern_harrier,,,,gray seal,voronezh,,,
106,106.0,brandt_goose,,,,atlantic white-sided dolphin,chukotka,,,
107,107.0,black_swan,,,,striped skunk,shimsk,,,
108,108.0,swainsons_hawk,,,,black rat,permskiy_krai,,,
109,109.0,red-necked_grebe,,,,percheron_horse,avila,,,
110,110.0,american_green_winged_teal,,,,equine,bosnia_and_herzegovina,,,
111,111.0,northwestern_crow,,,,quarter_horse,bor,,,
112,112.0,black_brant,,,,horse,buzau,,,
113,113.0,common_grackle,,,,equus_ferus_caballus,romania_ar,,,
114,114.0,wild-bird,,,,eastern gray squirrel,oreburg,,,
115,115.0,black_turnstone,,,,virginia opossum,romania_is,,,
116,116.0,roseate_spoonbill,,,,wild_boar,nordrhein-westfalen,,,
117,117.0,american_wood_stork,,,,sw,aix-en-provence,,,
118,118.0,double-crested_cormorant,,,,norway_rat,gorno-altaysk,,,
119,119.0,scoter,,,,antarctic fur seal,galich,,,
120,120.0,parasitic_jaeger,,,,catalina island fox,kurgan_oblast,,,
121,121.0,black_scoter,,,,,bashkiria,,,
122,122.0,american_robin,,,,,rhone_alpes,,,
123,123.0,red_necked_phalarope,,,,,kyzyl,,,
124,124.0,red_shouldered_hawk,,,,,swansea,,,
125,125.0,cinnamon_teal,,,,,grozny,,,
126,126.0,broad-winged_hawk,,,,,new_caledonia,,,
127,127.0,greater_yellowlegs,,,,,saintpetersburg,,,
128,128.0,common_barn_owl,,,,,romania_bb,,,
129,129.0,dovekie,,,,,krasnodar_krai,,,
130,130.0,wild_bird,,,,,koygorodok,,,
131,131.0,eagle,,,,,banskabystrica,,,
132,132.0,fish_crow,,,,,denbigh,,,
133,133.0,grackle,,,,,bayern,,,
134,134.0,brant,,,,,khmelnytskyi,,,
135,135.0,common_tern,,,,,kirov,,,
136,136.0,lesser_snow_goose,,,,,crumlin,,,
137,137.0,magpie,,,,,lyon-chu,,,
138,138.0,western_snowy_plover,,,,,pankovka,,,
139,139.0,royal_tern,,,,,burry_port,,,
140,140.0,black-billed_magpie,,,,,tywyn,,,
141,141.0,arctic_tern,,,,,iasi,,,
142,142.0,khaki_campbell_duck,,,,,helsingborg,,,
143,143.0,eider,,,,,aubusson,,,
144,144.0,red_necked_grebe,,,,,penperlleni,,,
145,145.0,caspian_tern,,,,,hrochot,,,
146,146.0,short_billed_gull,,,,,germany-by,,,
147,147.0,blackbird,,,,,saint-petersburg,,,
148,148.0,eared_grebe,,,,,grenoble,,,
149,149.0,double_crested_cormorant,,,,,munich,,,
150,150.0,brown_pelican,,,,,boulogne,,,
151,151.0,black_legged_kittiwake,,,,,llantrisant,,,
152,152.0,blue_winged_teal,,,,,belgorod_oblast,,,
153,153.0,rough-legged_hawk,,,,,tyva,,,
154,154.0,northern_gannet,,,,,segovia,,,
155,155.0,bonapartes_gull,,,,,clermontferrand,,,
156,156.0,snowy_egret,,,,,yarosavl,,,
157,157.0,great_black-backed_gulll,,,,,toulon,,,
158,158.0,snowy_plover,,,,,bilthoven,,,
159,159.0,american_coot,,,,,raglan,,,
160,160.0,white-winged_scoter,,,,,parma,,,
161,161.0,redhead_duck,,,,,salsky_district,,,
162,162.0,whistling_swan,,,,,caldicot,,,
163,163.0,greater_scaup,,,,,canarias,,,
164,164.0,broad_winged_hawk,,,,,switzerland,,,
165,165.0,teal,,,,,chita,,,
166,166.0,razorbill,,,,,yaroslavl,,,
167,167.0,gannet,,,,,sassari,,,
168,168.0,ruddy_turnstone,,,,,moscow_oblast,,,
169,169.0,mottled_duck,,,,,llanfoist,,,
170,170.0,short-tailed_shearwaters,,,,,cologne,,,
171,171.0,neotropic_cormorant,,,,,altai_krai,,,
172,172.0,raven,,,,,samara_oblast,,,
173,173.0,manx_shearwater,,,,,ust-kut,,,
174,174.0,rossss_goose,,,,,cannes,,,
175,175.0,western_sandpiper,,,,,portugal,,,
176,176.0,ferruginous_hawk,,,,,yoshkar-ola,,,
177,177.0,california_condor,,,,,nantyffyllon,,,
178,178.0,great_shearwater,,,,,verona,,,
179,179.0,ruffed_grouse,,,,,turochak,,,
180,180.0,great_grey_owl,,,,,arkhangelsk_oblast,,,
181,181.0,merlin,,,,,iiv-ryazan,,,
182,182.0,glaucous_gull,,,,,eng,,,
183,183.0,lesser_white-fronted_goose,,,,,rhondda,,,
184,184.0,rough_legged_hawk,,,,,czechrepublic,,,
185,185.0,cormorant,,,,,krasny_luch,,,
186,186.0,sandwich_tern,,,,,ugolnaya,,,
187,187.0,western_screech_owl,,,,,bolzano,,,
188,188.0,raptor,,,,,firminy,,,
189,189.0,bar-headed_goose,,,,,llanddona,,,
190,190.0,western_grebe,,,,,stathan,,,
191,191.0,harriss_hawk,,,,,wurzburg,,,
192,192.0,green_heron,,,,,chambery,,,
193,193.0,horned_grebe,,,,,kyiv,,,
194,194.0,corvus_ossifragus,,,,,chepstow,,,
195,195.0,short-billed_gull,,,,,volgograd_region,,,
196,196.0,black-legged_kittiwake,,,,,yaroslavyl,,,
197,197.0,pintail,,,,,omsk_oblast,,,
198,198.0,eastern_screech_owl,,,,,saint_ouen_l_aumone,,,
199,199.0,sparrow,,,,,noyabrsk,,,
200,200.0,california_gull,,,,,ulan-ude,,,
201,201.0,willet,,,,,verkh-chebula,,,
202,202.0,american_blue_winged_teal,,,,,llanbrynmair,,,
203,203.0,franklins_gull,,,,,grangetown,,,
204,204.0,sharp_shinned_hawk,,,,,poddorye,,,
205,205.0,iceland_gull,,,,,nizhny_novgorod,,,
206,206.0,great_black_backed_gull,,,,,oswestry,,,
207,207.0,european starling,,,,,abertysswgy,,,
208,208.0,common grackle,,,,,saint-etienne,,,
209,209.0,rock pigeon,,,,,kalach,,,
210,210.0,western gull,,,,,santiago_de_compostela,,,
211,211.0,common raven,,,,,uryupinsk,,,
212,212.0,great blue heron,,,,,n.ireland,,,
213,213.0,american robin,,,,,lorraine,,,
214,214.0,red-shouldered hawk,,,,,ulyanovsk,,,
215,215.0,american wigeon,,,,,bol'shie_kolpany,,,
216,216.0,western kingbird,,,,,galati,,,
217,217.0,double-crested cormorant,,,,,agen,,,
218,218.0,snowy owl,,,,,milfordhaven,,,
219,219.0,snow goose,,,,,kostroma,,,
220,220.0,crested caracara,,,,,sernur,,,
221,221.0,cago,,,,,papeete,,,
222,222.0,red-breasted merganser,,,,,khmelnitsky,,,
223,223.0,comon-grackle,,,,,falun,,,
224,224.0,herring gull,,,,,saint_petersburg,,,
225,225.0,blue jay,,,,,kalmar,,,
226,226.0,bald eagle,,,,,iiv-tomsk,,,
227,227.0,ruddy duck,,,,,amur,,,
228,228.0,canada goose,,,,,simpheropol,,,
229,229.0,white-winged dove,,,,,merthyrtydfil,,,
230,230.0,pefa,,,,,nijmegen,,,
231,231.0,red-tailed hawk,,,,,gavle,,,
232,232.0,wood duck,,,,,russia,,,
233,233.0,black billed magpie,,,,,izhevsk,,,
234,234.0,black-crowned night-heron,,,,,ulan_ude,,,
235,235.0,white-faced ibis,,,,,hessen,,,
236,236.0,great horned owl,,,,,sachsen-anhalt,,,
237,237.0,trumpeter swan,,,,,stasaph,,,
238,238.0,northern shoveler,,,,,rhineland-palatinate,,,
239,239.0,common goldeneye,,,,,marchwiel,,,
240,240.0,american woodcock,,,,,tarbes,,,
241,241.0,green-winged teal,,,,,brussels,,,
242,242.0,mallard x american black duck hybrid,,,,,norrkoping,,,
243,243.0,ring-billed gull,,,,,kosovo,,,
244,244.0,tundra swan,,,,,sholokhovo,,,
245,245.0,hosp,,,,,chechnya,,,
246,246.0,cooper's hawk,,,,,stavropol,,,
247,247.0,barn owl,,,,,medved,,,
248,248.0,american black duck,,,,,rhosybol,,,
249,249.0,mute swan,,,,,veneto,,,
250,250.0,turkey vulture,,,,,trnava,,,
251,251.0,hooded merganser,,,,,novaya_derevnya,,,
252,252.0,black vulture,,,,,yelo,,,
253,253.0,house sparrow,,,,,birobidjan,,,
254,254.0,cackling goose,,,,,surgut,,,
255,255.0,american crow,,,,,romania_gl,,,
256,256.0,eurasian collared dove,,,,,bucuressti,,,
257,257.0,northern pintail,,,,,ekaterinburg,,,
258,258.0,burrowing owl,,,,,budapest,,,
259,259.0,sandhill crane,,,,,blagoveshchensk,,,
260,260.0,red tailed hawk,,,,,cardiff,,,
261,261.0,western sandpiper,,,,,tver,,,
262,262.0,ganada goose,,,,,ammanford,,,
263,263.0,harris hawk,,,,,novosibirsk_oblast,,,
264,264.0,falco peregrinus,,,,,powys,,,
265,265.0,common eider,,,,,anzhero-sudzhensk,,,
266,266.0,great black-backed gull,,,,,khleborodnoye,,,
267,267.0,common merganser,,,,,barry,,,
268,268.0,house_sparrow,,,,,belgrade,,,
269,269.0,mallard-black_duck_hybrid,,,,,gwernaffield,,,
270,270.0,peregrine ,,,,,liverpool,,,
271,271.0,chukar,,,,,urlu-aspak,,,
272,272.0,tern,,,,,khanty-mansiysk,,,
273,273.0,southern_fulmar,,,,,tyumen,,,
274,274.0,sterna_hirundo,,,,,messina,,,
275,275.0,wildbird-fregata-magnificens,,,,,romania546199,,,
276,276.0,southamerican_tern,,,,,iceland,,,
277,277.0,great_grebe,,,,,pontardawe,,,
278,278.0,pelecanus_thagus,,,,,tuymen,,,
279,279.0,wildbird-sula-nebouxii,,,,,yekaterinburg,,,
280,280.0,peruvian_booby,,,,,pais_vasco,,,
281,281.0,belcher_gull,,,,,anglesey,,,
282,282.0,chiloe_wigeon,,,,,germany,,,
283,283.0,buteogallus_urubitinga,,,,,llandovery,,,
284,284.0,blackish_oystercatcher,,,,,ust-koksa,,,
285,285.0,thalasseus_maximus,,,,,malaya_vishera,,,
286,286.0,pelecanus,,,,,kmao,,,
287,287.0,buff-necked_ibis,,,,,st.petersburg,,,
288,288.0,thalasseus_acuflavidus,,,,,siena,,,
289,289.0,megascops_choliba,,,,,mouse,,,
290,290.0,calidris_alba,,,,,welshpool,,,
291,291.0,peruvean_booby,,,,,fvg-gorizia,,,
292,292.0,black-necked_swan,,,,,iiv-orenburg,,,
293,293.0,brown_booby,,,,,henfynyw,,,
294,294.0,procellaria_aequinoctialis,,,,,ukraine,,,
295,295.0,franklin_gull,,,,,coleford,,,
296,296.0,frigatebird,,,,,romania_ot,,,
297,297.0,chilean_teal,,,,,porth,,,
298,298.0,south_polar_skua,,,,,trikala.gr,,,
299,299.0,elegant_tern,,,,,ynysfach,,,
300,300.0,south_american_tern,,,,,frankfurt,,,
301,301.0,sula_leucogaster,,,,,novgorod_oblast,,,
302,302.0,band-tailed_gull,,,,,podporozhie,,,
303,303.0,gray_gull,,,,,llangennech,,,
304,304.0,great_grabe,,,,,basel,,,
305,305.0,franklin's_gull,,,,,sergach,,,
306,306.0,guanay_cormorant,,,,,novosibirsk,,,
307,307.0,kelp_gull,,,,,athens.gr,,,
308,308.0,inca_tern,,,,,gothenburg,,,
309,309.0,pelecanus_occidentalis,,,,,llay,,,
310,310.0,humboldt_penguin,,,,,berlin,,,
311,311.0,pluvialis_dominica,,,,,murcia,,,
312,312.0,antarctic_tern,,,,,ni,,,
313,313.0,brown_skua,,,,,south_australia,,,
314,314.0,south_georgia_shag,,,,,neath,,,
315,315.0,athene cunicularia,,,,,sheffield,,,
316,316.0,accipitridae,,,,,prahova,,,
317,317.0,cairina moschata,,,,,margam,,,
318,318.0,corvus,,,,,cahors,,,
319,319.0,scolopax minor,,,,,kalinigrad,,,
320,320.0,meleagris gallopavo,,,,,pontypridd,,,
321,321.0,passer domesticus,,,,,abidjan,,,
322,322.0,gruidae,,,,,aquitaine,,,
323,323.0,pelecanidae,,,,,pays_de_loire,,,
324,324.0,bubo virginianus,,,,,velikiy_novgorod,,,
325,325.0,anser caerulescens,,,,,netherlands,,,
326,326.0,corvus brachyrhynchos,,,,,aberystwyth,,,
327,327.0,columba livia,,,,,cherepovets,,,
328,328.0,turdus migratorius,,,,,pogranichnyy,,,
329,329.0,calidris mauri,,,,,ozersk,,,
330,330.0,gyps fulvus,,,,,bari,,,
331,331.0,aves,,,,,porthmadog,,,
332,332.0,ardea herodias,,,,,karasuk,,,
333,333.0,mareca americana,,,,,tomsk_oblast,,,
334,334.0,branta hutchinsii,,,,,ruabon,,,
335,335.0,turdus merula,,,,,llandysul,,,
336,336.0,branta canadensis,,,,,carmarthen,,,
337,337.0,streptopelia decaocto,,,,,kola,,,
338,338.0,bubo scandiacus,,,,,caerau,,,
339,339.0,anas carolinensis,,,,,wilson-smith,,,
340,340.0,buteo jamaicensis,,,,,holywell,,,
341,341.0,nycticorax nycticorax,,,,,haverfordwest,,,
342,342.0,strigidae,,,,,valence,,,
343,343.0,columbidae,,,,,kosh-agach,,,
344,344.0,mareca strepera,,,,,shebalino,,,
345,345.0,tyto alba,,,,,vaxjo,,,
346,346.0,alectoris chukar,,,,,murmansk_oblast,,,
347,347.0,corvus corax,,,,,donetsk,,,
348,348.0,cygnus olor,,,,,?vila,,,
349,349.0,buteo lineatus,,,,,llanfair,,,
350,350.0,aix sponsa,,,,,warsaw,,,
351,351.0,cathartes aura,,,,,zony,,,
352,352.0,zenaida asiatica,,,,,veliky_novgorod,,,
353,353.0,anas platyrhynchos,,,,,stavropol_krai,,,
354,354.0,haliaeetus leucocephalus,,,,,finland,,,
355,355.0,larus occidentalis,,,,,severskaya,,,
356,356.0,icteridae,,,,,headington,,,
357,357.0,lophodytes cucullatus,,,,,vologda,,,
358,358.0,common_eiders,,,,,saint-denis,,,
359,359.0,accipiter cooperii,,,,,odessa,,,
360,360.0,parabuteo unicinctus,,,,,komi,,,
361,361.0,northern_fulmar,,,,,human,,,
362,362.0,black scoter,,,,,cosenza,,,
363,363.0,brandt goose,,,,,tula_oblast,,,
364,364.0,surf scoter,,,,,blackwood,,,
365,365.0,great black-backed gulll,,,,,ebbwvale,,,
366,366.0,common loon,,,,,sarajevo,,,
367,367.0,white-winged scoter,,,,,centre,,,
368,368.0,corvus ossifragus,,,,,kemerovo,,,
369,369.0,lesser scaup,,,,,slovenskalupca,,,
370,370.0,peregrine,,,,,podporozhye,,,
371,371.0,rock_goose,,,,,norway,,,
372,372.0,sand_crane,,,,,orshanka,,,
373,373.0,american_green-winged_teal,,,,,rennes,,,
374,374.0,bonaparte's_gull,,,,,iiv-vel.novgorod,,,
375,375.0,sharp-shinned_hawk,,,,,simferopol,,,
376,376.0,sharp-shinned hawk,,,,,orleans,,,
377,377.0,bonaparte's gull,,,,,alsace,,,
378,378.0,american coot,,,,,eskilstuna,,,
379,379.0,greater scaup,,,,,toulouse,,,
380,380.0,snowy egret,,,,,harrow,,,
381,381.0,barred owl,,,,,pristina,,,
382,382.0,glaucous gull,,,,,berdigestyakh,,,
383,383.0,rock goose,,,,,ufa,,,
384,384.0,sand crane,,,,,roma,,,
385,385.0,ross's goose,,,,,balashikha,,,
386,386.0,great egret,,,,,athens,,,
387,387.0,anas_platyrhynchos,,,,,melilla,,,
388,388.0,brown-headed_gull,,,,,nizhni_novgorod,,,
389,389.0,phalacrocorax_carbo,,,,,st_mellons,,,
390,390.0,pelecanus_conspicillatus,,,,,alicante,,,
391,391.0,rural_goose,,,,,kaliningrad_oblast,,,
392,392.0,strix_uralensis,,,,,clermont-f.,,,
393,393.0,european_herring_gull,,,,,severomorsk,,,
394,394.0,golden_eagle,,,,,port_talbot,,,
395,395.0,northem_pintail,,,,,kursk,,,
396,396.0,towny_owel,,,,,croatia,,,
397,397.0,chroicocephalus_ridibundus,,,,,spain,,,
398,398.0,common_pheasant_,,,,,abergavenny,,,
399,399.0,ardea_cinerea,,,,,abakan,,,
400,400.0,white_stork_,,,,,clermont-ferrand,,,
401,401.0,_rough-legged_buzzard_,,,,,badajoz,,,
402,402.0,cygnus_atratus,,,,,torino,,,
403,403.0,pochard_duck,,,,,cherkessk,,,
404,404.0,larus_argentatus,,,,,guyane,,,
405,405.0,common-kingfisher,,,,,czech_republic,,,
406,406.0,western_barn_owl,,,,,gorseinon,,,
407,407.0,common_guillemot,,,,,magadan_oblast,,,
408,408.0,whooper-swan,,,,,falkland-islands,,,
409,409.0,brant_goose,,,,,makhachkala,,,
410,410.0,hooded_crane,,,,,naryan-mar,,,
411,411.0,luscinia_cyane,,,,,ross-on-wye,,,
412,412.0,oystercatcher,,,,,roath,,,
413,413.0,perigrine_falcon,,,,,garches,,,
414,414.0,laying-hen,,,,,kharkov,,,
415,415.0,eurasian_eagle_owl,,,,,district_of_columbia,,,
416,416.0,bean_goose,,,,,romania_ph,,,
417,417.0,cormorants,,,,,enfield,,,
418,418.0,gypaetus_barbatus,,,,,iiv-vladimir,,,
419,419.0,pink_footed_goose,,,,,extremadura,,,
420,420.0,buteo_buteo,,,,,rostov-on-don,,,
421,421.0,guinea_fowl-chicken,,,,,genoa,,,
422,422.0,green_sandpiper,,,,,beshpeltir,,,
423,423.0,common-shelduck,,,,,kaduy,,,
424,424.0,common-kestrel,,,,,puymirol,,,
425,425.0,western_marsh_harrier,,,,,dunkerque,,,
426,426.0,ichtyaetus_melanocephalus,,,,,lund,,,
427,427.0,wild_geese,,,,,cefnybedd,,,
428,428.0,kittiwake,,,,,glyncorrwg,,,
429,429.0,reed_warbler,,,,,ile_de_france,,,
430,430.0,pica_pica,,,,,bollnas,,,
431,431.0,spot-billed_duck,,,,,kharkiv,,,
432,432.0,pavo_cristatus,,,,,brest_armees,,,
433,433.0,lesser_black-backed_gull_,,,,,altai_republic,,,
434,434.0,indian_peafowl,,,,,kaluga_oblast,,,
435,435.0,anser_albifrons,,,,,chelyabinsk,,,
436,436.0,mediterranean_gull,,,,,kurumkan,,,
437,437.0,painted_stork,,,,,clermont-f,,,
438,438.0,common_buzzard_,,,,,llanfihangel_glyn_myrfyr,,,
439,439.0,larus,,,,,baden-w?rttemberg,,,
440,440.0,grey_goose,,,,,iiv-maykop,,,
441,441.0,red-breasted_goose,,,,,yamalo-nenets_ao,,,
442,442.0,black_headed_seagull,,,,,cowbridge,,,
443,443.0,falcated_duck,,,,,lugansk,,,
444,444.0,european_herringgull,,,,,volzhsk,,,
445,445.0,crested_auklet,,,,,kaluga,,,
446,446.0,common_gull_,,,,,milano,,,
447,447.0,rhea,,,,,caerphilly,,,
448,448.0,pelecanus_crispus,,,,,dorozhny,,,
449,449.0,sacred-ibis,,,,,larioja,,,
450,450.0,red-crowned_crane,,,,,baden-wuttemberg,,,
451,451.0,gull10,,,,,nizhnynovgorod,,,
452,452.0,tachybaptus_ruficollis,,,,,chernyshkovsky,,,
453,453.0,jungle_crow,,,,,saratov,,,
454,454.0,greylag_goose,,,,,wroclaw,,,
455,455.0,eurasian_goshawk,,,,,alexandrov,,,
456,456.0,_peregrine_falcon_,,,,,romania_dj,,,
457,457.0,_eurasian_eagle-owl,,,,,brymbo,,,
458,458.0,common_gull,,,,,oryol,,,
459,459.0,sand_piper,,,,,ulyanovsk_oblast,,,
460,460.0,greylaggoose,,,,,iiv-penza,,,
461,461.0,common_pochard,,,,,nizhny_tagil,,,
462,462.0,red_knot,,,,,banska_bystrica,,,
463,463.0,anser_brachyrhynchus,,,,,saint-peresburg,,,
464,464.0,breeding_hen,,,,,omsk,,,
465,465.0,lapwing,,,,,banska_bytrica,,,
466,466.0,brahma_chicken,,,,,buturlinovka,,,
467,467.0,kestrel,,,,,bangor,,,
468,468.0,cairina_moschata,,,,,zaporizza,,,
